sina_code,name,tag,amount,today_pct,turnover,open_pct,price,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sz002851,麦格米特,💰大战场,2991000000.0,7.92,6.67,-0.29,99.58,15.39,,0,0,0,002851
sz002222,福晶科技,首板/炸板/反包预期/💰大战场,2976000000.0,5.42,10.3,-0.02,61.31,2.37,,0,0,0,002222
sh600330,天通股份,💰大战场,2965000000.0,7.67,18.1,0.08,13.61,13.42,,0,0,0,600330
sh601336,新华保险,💰大战场,2965000000.0,1.88,1.73,-0.37,82.32,14.97,,0,0,0,601336
sh600363,联创光电,💰大战场,2958000000.0,1.73,9.29,-1.54,70.15,20.55,,0,0,0,600363
sh600392,盛和资源,💰大战场,2930000000.0,2.99,7.23,1.56,23.07,8.16,,0,0,0,600392
sz300337,银邦股份,💰大战场,2883000000.0,2.58,23.61,-6.53,17.9,39.52,,0,0,0,300337
sz002916,深南电路,💰大战场,2858000000.0,4.25,1.77,0.32,244.3,8.1,,0,0,0,002916
sz002735,王子新材,首板/炸板/反包预期/💰大战场,2823000000.0,5.95,49.11,-0.78,20.31,14.17,,0,0,0,002735
sh600487,亨通光电,💰大战场,2817000000.0,1.34,4.61,0.16,24.92,-4.67,,0,0,0,600487
sz002428,云南锗业,💰大战场,2794000000.0,3.63,13.06,2.47,33.1,13.78,,0,0,0,002428
sz002383,合众思壮,首板/炸板/反包预期/💰大战场,2781000000.0,5.22,26.03,4.99,14.12,29.42,,0,0,0,002383
sz300570,太辰光,💰大战场,2710000000.0,2.37,11.81,1.18,118.88,-0.47,,0,0,0,300570
sh600219,南山铝业,💰大战场,2654000000.0,2.82,3.99,0.53,5.83,20.95,,0,0,0,600219
sh600549,厦门钨业,💰大战场,2622000000.0,3.53,3.79,0.92,44.85,8.49,,0,0,0,600549
sz300331,苏大维格,💰大战场,2611000000.0,5.33,30.97,-2.04,41.9,36.22,,0,0,0,300331
sh601869,长飞光纤,💰大战场,2593000000.0,3.37,5.44,0.55,117.76,-7.31,,0,0,0,601869
sz300567,精测电子,💰大战场,2589000000.0,5.64,10.59,-0.43,109.55,30.42,,0,0,0,300567
sh688809,C强一,首板/💰大战场,2550000000.0,12.55,31.76,7.51,329.77,0.0,,0,0,0,688809
sh688313,仕佳光子,💰大战场,2529000000.0,2.62,6.33,0.88,88.8,-8.84,,0,0,0,688313
sh600501,航天晨光,航天/💰大战场,2525000000.0,3.66,19.01,-3.09,31.18,21.7,,0,0,0,600501
sz002757,南兴股份,F佬/南兴股份(AI智能体/没动/豆包预期) # 复盘：没动，有豆包春晚预期/💰大战场,2510000000.0,-8.28,38.98,-4.29,21.61,36.6,,0,0,0,002757
sh688249,晶合集成,💰大战场,2489000000.0,5.35,5.64,1.84,37.24,3.19,,0,0,0,688249
sh601399,国机重装,1板/💰大战场,2465000000.0,9.98,6.32,-1.0,5.51,-2.13,,0,0,0,601399
sz002400,省广集团,💰大战场,2444000000.0,0.32,15.22,-0.43,9.27,13.06,,0,0,0,002400
sh601208,东材科技,💰大战场,2425000000.0,2.87,8.71,-0.15,27.56,13.84,,0,0,0,601208
sh688396,华润微,💰大战场,2315000000.0,6.23,2.85,2.84,60.51,9.05,,0,0,0,688396
sh603011,合锻智能,💰大战场,2313000000.0,3.86,18.16,-0.08,25.84,13.04,,0,0,0,603011
sh600259,中稀有色,首板/炸板/反包预期/💰大战场,2309000000.0,7.08,11.03,2.04,62.33,11.36,,0,0,0,600259
sh601601,中国太保,💰大战场,2282000000.0,1.14,0.7,-0.4,47.89,15.68,,0,0,0,601601
sh601117,中国化学,💰大战场,2235000000.0,6.32,4.45,0.13,8.24,7.43,,0,0,0,601117
sz002347,泰尔股份,持仓/泰尔股份/💰大战场,2218000000.0,-5.29,35.26,-4.99,12.71,62.53,,0,0,0,002347
sz002364,中恒电气,💰大战场,2215000000.0,5.82,13.89,-1.13,29.1,18.05,,0,0,0,002364
sz300446,航天智造,航天/💰大战场,2214000000.0,4.07,22.98,-1.41,26.6,9.06,,0,0,0,300446
sz300290,荣科科技,📉跌停/博弈修复/💰大战场,2190000000.0,-20.0,14.67,-20.0,23.0,-24.17,,0,0,0,300290
sz002436,兴森科技,💰大战场,2182000000.0,2.11,6.47,0.37,22.31,11.22,,0,0,0,002436
sh600522,中天科技,💰大战场,2151000000.0,0.38,3.42,-0.33,18.33,-7.05,,0,0,0,600522
sz300429,强力新材,💰大战场,2113000000.0,0.89,32.99,2.91,15.94,10.62,,0,0,0,300429
sh688795,摩尔线程-U,💰大战场,2104000000.0,0.58,11.55,-0.81,617.54,-8.24,,0,0,0,688795
sh600550,保变电气,💰大战场,2102000000.0,4.34,9.85,0.54,11.54,13.69,,0,0,0,600550
sh601100,恒立液压,💰大战场,2092000000.0000002,5.75,1.35,-0.63,117.06,8.98,,0,0,0,601100
sh600547,山东黄金,💰大战场,2085000000.0000002,0.27,1.42,0.02,41.09,7.9,,0,0,0,600547
sz300383,光环新网,💰大战场,2082999999.9999998,4.09,8.35,-0.59,14.01,11.54,,0,0,0,300383
sh688629,华丰科技,💰大战场,2072000000.0,1.45,10.84,-0.15,107.5,29.69,,0,0,0,688629
sz300593,新雷能,💰大战场,2038000000.0,5.89,14.25,-0.64,32.89,29.95,,0,0,0,300593
sh600875,东方电气,💰大战场,2030999999.9999998,3.64,3.54,0.45,25.6,9.87,,0,0,0,600875
sz002766,索菱股份,F佬/索菱股份(无人驾驶/身位最好/二选一胜出) # 复盘：无人驾驶身位最好，优于世宝，新开仓/首板/炸板/反包预期,1991000000.0,-3.41,30.49,9.96,7.08,17.61,,0,0,0,002766
sh601179,中国西电,1板,1979000000.0,9.97,3.72,1.04,10.59,13.63,,0,0,0,601179
sh600435,北方导航,2板/军工/卫星,1907999999.9999998,9.99,6.51,8.27,19.82,37.83,,0,0,0,600435
sh600973,宝胜股份,首板/炸板/反包预期,1905000000.0,6.26,17.71,-0.68,7.81,17.27,,0,0,0,600973
