sina_code,name,tag,amount,today_pct,turnover,open_pct,price,risk_level,risk_msg,trigger_next,risk_rule,deviation_val_10d,deviation_val_30d,call_auction_ratio,last_amount,limit_up_type,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sh600410,华胜天成,★人气/成交,8342000000.0,4.1,34.38,2.97,22.09,🟢 Safe,-,-,,0.0,0.0,0,5947000000.0,0,28.36,,0,0,0,600410
sh600089,特变电工,★人气/成交,8303000000.0,-0.24,6.57,4.17,24.88,🟢 Safe,-,-,,0.0,0.0,0,7778000000.0,0,7.57,,0,0,0,600089
sz300762,上海瀚讯,★人气/成交,8031000000.0,9.02,23.19,4.98,55.6,🟢 Safe,-,-,,0.0,0.0,0,7894000000.0,0,44.57,,0,0,0,300762
sh600118,中国卫星,★人气/成交/1板/[换手板]/航天/卫星,7984999999.999999,10.0,5.89,5.61,116.66,🟢 Safe,-,-,,0.0,0.0,0,16321000000.0,0,60.4,,0,0,0,600118
sh600143,金发科技,F佬/金发科技(疑似金风补涨/名字玄学)/★人气/成交,7922000000.0,2.82,13.93,3.78,21.51,🟢 Safe,-,-,,0.0,0.0,0,5948000000.0,0,14.29,,0,0,0,600143
sz002465,海格通信,F佬/海格通信(商业航天/容量/趋势做T)/★人气/成交/1板/[换手板]/卫星,7898000000.0,10.0,14.92,4.7,22.0,🟢 Safe,-,-,,0.0,0.0,0,10745000000.0,0,60.7,,0,0,0,002465
sz300803,指南针,★人气/成交,7861000000.0,6.31,9.0,-0.18,147.84,🟢 Safe,-,-,,0.0,0.0,0,3808000000.0,0,9.85,,0,0,0,300803
sz300394,天孚通信,★人气/成交,7841000000.0,1.71,5.09,-1.46,202.41,🟢 Safe,-,-,,0.0,0.0,0,6754000000.000001,0,-5.77,,0,0,0,300394
sz300450,先导智能,★人气/成交,7642000000.0,-3.7,8.72,-1.46,56.24,🟢 Safe,-,-,,0.0,0.0,0,7098000000.0,0,10.51,,0,0,0,300450
sz002151,北斗星通,F佬/北斗星通(商业航天/容量)/★人气/成交/1板/[换手板]/卫星,7627000000.0,10.0,26.58,2.43,66.9,🟢 Safe,-,-,,0.0,0.0,0,7352000000.0,0,74.49,,0,0,0,002151
sz002565,顺灏股份,🐉龙虎榜/💰北向/严重异动(13.4亿)/🏃北向/严重异动(11.6亿)/★人气/成交,7540000000.000001,2.65,31.37,-1.35,22.89,极高危,196.03%,次日 +1.30%,30日偏离值200%,0.0,196.03,0,7517000000.0,0,47.11,,0,0,0,002565
sz300170,汉得信息,🐉龙虎榜/💰北向(3.0亿)/💰机构(1.5亿)/💰机构/3日(3.1亿)/💰北向/3日(10.9亿)/🏃北向(4.2亿)/🏃机构/3日(4.2亿)/🏃北向/3日(12.8亿)/★人气/成交/1板/[换手板]/AI/智能体,7388000000.0,20.01,27.66,3.67,29.39,🟢 Safe,-,-,,0.0,0.0,0,6431999999.999999,0,71.17,,0,0,0,300170
sh603019,中科曙光,★人气/成交,7359999999.999999,2.84,5.3,0.32,95.99,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,10.74,,0,0,0,603019
sh600584,长电科技,★人气/成交,7358000000.0,6.07,9.36,1.94,43.68,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,17.64,,0,0,0,600584
sz000559,万向钱潮,F佬/万向钱潮(机器人/跨年龙/16连阳)/★人气/成交/🔥A大焚诀/爆量,7329000000.000001,3.02,10.83,0.0,20.45,🟢 Safe,-,-,,0.0,0.0,0,6948999999.999999,0,52.16,,0,0,0,000559
sh688981,中芯国际,★人气/成交,7202000000.0,-0.95,2.82,-0.28,127.66,🟢 Safe,-,-,,0.0,0.0,0,6581999999.999999,0,3.72,,0,0,0,688981
sh688122,西部超导,★人气/成交/首板/[换手板],7072000000.0,14.27,11.09,5.11,106.21,🟢 Safe,-,-,,0.0,0.0,0,5307000000.0,0,41.8,,0,0,0,688122
sz002173,创新医疗,F佬/创新医疗(脑机/辨识度)/🐉龙虎榜/💰北向(3.6亿)/💰北向/3日(8.0亿)/💰拉萨天团(🔒)/💰机构(9433万)/💰机构/3日(2.0亿)/🏃北向(5.0亿)/🏃机构/3日(1.4亿)/🏃机构(5761万)/🏃北向/3日(6.5亿)/★人气/成交/🔥A大焚诀/爆量,7025000000.0,6.78,46.32,2.19,36.99,🟢 Safe,-,-,,0.0,0.0,0,6066000000.0,0,67.68,,0,0,0,002173
sh601012,隆基绿能,★人气/成交,6919000000.0,4.57,4.81,-1.58,19.23,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,5.25,,0,0,0,601012
sz002261,拓维信息,★人气/成交,6806000000.0,5.07,16.28,1.91,36.88,🟢 Safe,-,-,,0.0,0.0,0,4871000000.0,0,20.48,,0,0,0,002261
sh603993,洛阳钼业,★人气/成交,6773000000.0,-0.4,1.72,1.84,22.69,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,21.34,,0,0,0,603993
sz002639,雪人集团,🐉龙虎榜/💰机构(3745万)/💰北向(3.8亿)/💰消闲派(🔒)/💰知春路(🔒)/🏃北向(4.6亿)/🏃机构(9600万)/★人气/成交/1板/[换手板]/航天,6648999999.999999,10.01,40.08,0.04,27.03,🟢 Safe,-,-,,0.0,0.0,0,9341000000.0,0,36.72,,0,0,0,002639
sh688041,海光信息,★人气/成交,6634000000.0,-0.2,1.16,0.0,246.05,🟢 Safe,-,-,,0.0,0.0,0,8401000000.000001,0,11.61,,0,0,0,688041
sh601600,中国铝业,★人气/成交,6597000000.0,-1.42,3.6,2.06,13.85,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,26.37,,0,0,0,601600
sh600151,航天机电,★人气/成交/1板/[换手板]/航天/军工,6583000000.0,9.99,20.52,2.32,22.79,🟢 Safe,-,-,,0.0,0.0,0,6226000000.0,0,38.54,,0,0,0,600151
sz300346,南大光电,★人气/成交,6506999999.999999,-1.63,17.46,-2.23,57.35,🟢 Safe,-,-,,0.0,0.0,0,8214000000.0,0,24.27,,0,0,0,300346
sz300409,道氏技术,🐉龙虎榜/💰机构(7541万)/💰北向(3.0亿)/💰余哥(1.1亿)/💰赵老哥(1.5亿)/💰六一中路(38万)/🏃机构(5934万)/🏃北向(2.0亿)/🏃余哥(23万)/🏃赵老哥(1.7亿)/🏃六一中路(1.4亿)/★人气/成交/1板/[换手板]/机器人/固态电池,6376000000.0,19.99,29.68,1.68,34.94,🟢 Safe,-,-,,0.0,0.0,0,4373000000.0,0,54.6,,0,0,0,300409
sz002555,三七互娱,★人气/成交/首板/👀焚诀预期/炸板/[换手板],6372000000.0,9.05,13.67,4.03,29.76,🟢 Safe,-,-,,0.0,0.0,0,3293000000.0,0,32.27,,0,0,0,002555
sh688012,中微公司,★人气/成交,6354000000.0,4.76,2.86,2.47,352.69,🟢 Safe,-,-,,0.0,0.0,0,6834999999.999999,0,26.17,,0,0,0,688012
sz300339,润和软件,★人气/成交/首板/[换手板],6230000000.0,11.81,14.23,1.57,58.51,🟢 Safe,-,-,,0.0,0.0,0,2298000000.0,0,17.8,,0,0,0,300339
sh600030,中信证券,★人气/成交,6227000000.0,0.74,1.78,0.0,28.78,🟢 Safe,-,-,,0.0,0.0,0,6629000000.000001,0,-0.62,,0,0,0,600030
sh600580,卧龙电驱,★人气/成交,6208000000.0,0.85,8.26,0.58,48.63,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,6.25,,0,0,0,600580
sh601360,三六零,★人气/成交/1板/[换手板]/AI/智能体,6189000000.0,9.97,6.76,3.62,13.35,🟢 Safe,-,-,,0.0,0.0,0,0.0,0,26.9,,0,0,0,601360
sz002149,西部材料,F佬/西部材料(核电/即将出狱)/🐉龙虎榜/💰北向/严重异动(38.3亿)/🏃北向/严重异动(35.7亿)/★人气/成交,6015000000.0,2.04,24.08,-1.58,51.61,极高危,196.17%,次日 +1.25%,30日偏离值200%,0.0,196.17,0,4942000000.0,0,11.71,,0,0,0,002149
sz000901,航天科技,🐉龙虎榜/💰机构/3日(2.4亿)/💰北向/3日(9.4亿)/🏃北向/3日(7.7亿)/🏃机构/3日(1.7亿)/★人气/成交/🔥A大焚诀/航天,6015000000.0,8.7,22.28,1.96,35.0,🟢 Safe,-,-,,0.0,0.0,0,6904000000.000001,0,40.68,,0,0,0,000901
sz002602,世纪华通,★人气/成交,5960000000.0,-2.02,4.41,1.62,19.38,🟢 Safe,-,-,,0.0,0.0,0,3760000000.0,0,11.83,,0,0,0,002602
sh688111,金山办公,★人气/成交/首板/[换手板],5960000000.0,11.27,3.51,2.49,379.99,🟢 Safe,-,-,,0.0,0.0,0,3279000000.0,0,25.6,,0,0,0,688111
sz002428,云南锗业,★人气/成交,5925000000.0,5.34,22.54,4.11,41.0,🟢 Safe,-,-,,0.0,0.0,0,4126000000.0,0,32.47,,0,0,0,002428
sz300085,银之杰,★人气/成交/首板/[换手板],5881000000.0,17.01,19.43,0.0,48.84,🟢 Safe,-,-,,0.0,0.0,0,1490000000.0,0,19.18,,0,0,0,300085
sz002759,天际股份,★人气/成交,5870000000.0,1.02,25.3,-1.0,46.6,🟢 Safe,-,-,,0.0,0.0,0,4251000000.0,0,3.56,,0,0,0,002759
sz300604,长川科技,★人气/成交,5858000000.0,4.09,9.42,1.21,128.66,🟢 Safe,-,-,,0.0,0.0,0,4452000000.0,0,21.09,,0,0,0,300604
sz000977,浪潮信息,★人气/成交,5844000000.0,2.71,5.65,0.67,70.77,🟢 Safe,-,-,,0.0,0.0,0,4922000000.0,0,6.69,,0,0,0,000977
sz300115,长盈精密,★人气/成交,5839000000.0,2.18,9.56,0.49,45.45,🟢 Safe,-,-,,0.0,0.0,0,5471000000.0,0,12.92,,0,0,0,300115
sz000592,平潭发展,★人气/成交,5672000000.0,3.07,19.66,-1.94,15.43,🟢 Safe,-,-,,0.0,0.0,0,5664000000.0,0,11.09,,0,0,0,000592
