sina_code,name,tag,amount,today_pct,turnover,open_pct,price,risk_level,risk_msg,trigger_next,risk_rule,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sh688766,普冉股份,★人气/成交/首板/炸板/反包预期/💰大战场,4015999999.9999995,11.92,14.43,20.0,183.0,🟢 Safe,-,-,,45.54,,0,0,0,688766
sz002241,歌尔股份,★人气/成交/💰大战场,3961999999.9999995,-1.63,4.27,0.27,29.51,🟢 Safe,-,-,,4.65,,0,0,0,002241
sz000021,深科技,★人气/成交/💰大战场,3909000000.0000005,-0.52,9.16,3.79,26.75,🟢 Safe,-,-,,9.72,,0,0,0,000021
sz002402,和而泰,★人气/成交/💰大战场,3904999999.9999995,-4.69,12.38,-2.97,38.8,🟢 Safe,-,-,,-1.35,,0,0,0,002402
sh688347,华虹公司,★人气/成交/💰大战场,3877000000.0000005,4.59,7.74,4.09,125.37,🟢 Safe,-,-,,19.88,,0,0,0,688347
sh600418,江淮汽车,★人气/成交/💰大战场,3872999999.9999995,2.33,3.44,-1.49,51.42,🟢 Safe,-,-,,6.97,,0,0,0,600418
sz002409,雅克科技,★人气/成交/首板/炸板/反包预期/💰大战场,3853000000.0,8.05,13.73,6.07,88.63,🟢 Safe,-,-,,20.36,,0,0,0,002409
sh688525,佰维存储,★人气/成交/存储/💰大战场,3840000000.0,2.45,6.26,8.4,128.98,🟢 Safe,-,-,,19.75,,0,0,0,688525
sh600010,包钢股份,★人气/成交/💰大战场,3832000000.0,2.38,4.75,1.59,2.58,🟢 Safe,-,-,,7.5,,0,0,0,600010
sh600343,航天动力,★人气/成交/航天/💰大战场,3826000000.0,-0.11,13.3,-2.98,45.3,🟢 Safe,-,-,,22.0,,0,0,0,600343
sh600036,招商银行,★人气/成交/💰大战场,3736000000.0,-1.36,0.43,0.05,42.15,🟢 Safe,-,-,,0.91,,0,0,0,600036
sz002555,三七互娱,★人气/成交/💰大战场,3697000000.0,0.98,8.59,1.59,26.67,🟢 Safe,-,-,,19.17,,0,0,0,002555
sz300620,光库科技,★人气/成交/💰大战场,3634000000.0000005,3.58,9.65,0.13,155.26,🟢 Safe,-,-,,-1.96,,0,0,0,300620
sh601727,上海电气,★人气/成交/💰大战场,3629000000.0,3.19,3.19,0.0,9.07,🟢 Safe,-,-,,7.46,,0,0,0,601727
sh688205,德科立,★人气/成交/首板/🔥20cm/💰大战场,3544000000.0,14.23,15.27,0.0,158.78,🟢 Safe,-,-,,3.03,,0,0,0,688205
sz000768,中航西飞,★人气/成交/💰大战场,3539000000.0,-0.91,4.47,0.35,28.22,🟢 Safe,-,-,,14.48,,0,0,0,000768
sz000657,中钨高新,★人气/成交/💰大战场,3534000000.0000005,7.67,7.88,0.94,32.0,🟢 Safe,-,-,,7.96,,0,0,0,000657
sh601933,永辉超市,★人气/成交/💰大战场,3461999999.9999995,-0.81,7.76,-2.42,4.92,🟢 Safe,-,-,,-14.58,,0,0,0,601933
sh688270,臻镭科技,★人气/成交/💰大战场,3413000000.0000005,-3.65,12.11,-3.6,131.93,🟢 Safe,-,-,,17.28,,0,0,0,688270
sh688498,源杰科技,★人气/成交/💰大战场,3367000000.0,8.47,5.84,2.94,700.7,🟢 Safe,-,-,,9.66,,0,0,0,688498
