板块名称		涨幅		1分钟涨速		4分钟涨速		主力净量		主力金额		涨停数		涨家数		跌家数		领涨股		5日涨幅		10日涨幅		20日涨幅		概念解析		创建日期		年初至今		20160127至今		量比		总手		总金额		总市值		流通市值		
燃气		+0.92%		+0.01%		+0.03%		0.09		-87780950	0		23		4		德龙汇能	+3.37%		+5.03%		+7.19%		--		--		+2.61%		--		1.17		624314320	7987517900	272087110000	257830520000	
化学原料	+0.90%		+0.00%		+0.01%		-0.16		+21460630	4		31		24		三孚股份	+6.49%		+6.12%		+7.79%		--		--		+5.94%		--		1.07		1747146400	17904074000	718050500000	680812810000	
养殖业		+0.90%		+0.03%		+0.04%		-0.55		-296232010	0		26		7		中水渔业	+3.63%		+3.00%		+2.90%		--		--		+2.85%		--		1.23		1121111910	9685686700	648352290000	529201950000	
汽车零部件	+0.89%		+0.03%		+0.03%		-1.85		-2234306000	2		170		79		旭升集团	+3.17%		+6.86%		+8.60%		--		--		+3.17%		--		1.00		6346469500	113069187000	3137761500000	2536060400000	
中药		+0.77%		-0.00%		+0.03%		-0.60		-36019500	1		54		13		维康药业	+3.93%		+0.97%		-1.60%		--		--		+3.46%		--		1.10		1131372790	11729230400	903384000000	864591430000	
房地产		+0.76%		+0.05%		+0.07%		-0.90		-630002700	2		51		27		上实发展	+5.08%		+5.69%		+2.05%		--		--		+4.31%		--		1.16		5472769000	31705710000	1117019840000	1045512190000	
能源金属	+0.72%		+0.03%		+0.04%		-1.10		-496281880	0		9		3		远航精密	+6.08%		+4.27%		+11.47%		--		--		+4.97%		--		0.81		349792510	18030314000	532958890000	447695040000	
电池		+0.71%		+0.05%		+0.04%		-0.98		-1833630400	0		73		28		骄成超声	+4.83%		+3.57%		+5.45%		--		--		+4.01%		--		0.94		2457311700	83769824000	3568216000000	3225566600000	
证券		+0.71%		-0.01%		+0.01%		-0.48		-2170599100	0		41		8		华林证券	+2.53%		+2.29%		+2.03%		--		--		+1.86%		--		0.87		3651140000	47723296000	4082698900000	3428660800000	
电力		+0.68%		-0.01%		-0.01%		-0.43		-1016151000	0		72		20		世茂能源	+3.90%		+1.96%		+2.05%		--		--		+3.63%		--		1.01		4399316400	27056172000	3673694000000	3059708500000	
电子化学品	+0.67%		+0.02%		+0.04%		-2.31		-773265500	0		22		20		国瓷材料	+11.10%		+7.63%		+13.00%		--		--		+11.10%		--		1.02		1192601540	35258545000	594161860000	484189510000	
家居用品	+0.64%		+0.01%		+0.01%		-0.56		-160454890	1		58		32		悦心健康	+2.77%		+2.14%		+1.59%		--		--		+2.43%		--		1.11		931185750	12089499800	681802530000	548765610000	
其他社会服务	+0.63%		+0.04%		+0.04%		-0.85		-82681920	0		26		10		零点有数	+6.27%		+6.31%		+5.85%		--		--		+6.35%		--		1.15		527935900	10225140100	258656890000	188315760000	
环保设备	+0.60%		+0.03%		+0.04%		-0.83		-89253260	1		15		13		蓝盾光电	+3.74%		+2.92%		+6.93%		--		--		+3.53%		--		1.01		301754230	3960452900	140050260000	128830216000	
白酒		+0.60%		+0.01%		+0.01%		-0.22		-170224190	1		18		2		*ST岩石		+2.15%		+0.05%		-2.36%		--		--		+2.46%		--		1.07		133445049	11053594500	2955361000000	2938384200000	
化学制品	+0.57%		+0.05%		+0.06%		-0.67		-978445500	1		104		68		卓越新能	+4.46%		+4.13%		+5.88%		--		--		+3.47%		--		1.13		2443850700	43732072000	1757767700000	1565118900000	
食品加工制造	+0.56%		+0.02%		+0.03%		-0.58		-314785390	0		44		17		紫燕食品	+3.34%		+1.20%		+2.31%		--		--		+2.78%		--		1.15		837334040	10896464600	793220690000	735931590000	
造纸		+0.56%		+0.04%		+0.07%		-0.36		-50743780	0		14		6		安妮股份	+0.66%		+1.43%		+4.29%		--		--		+0.27%		--		1.09		708432810	4607887200	179158170000	171376190000	
贸易		+0.53%		+0.08%		+0.09%		0.32		-15901499	0		12		2		怡 亚 通	+3.65%		+3.62%		+2.82%		--		--		+3.21%		--		1.25		345626570	2244268300	171222210000	103151025000	
石油加工贸易	+0.52%		+0.02%		+0.02%		-0.19		-375823390	0		14		13		统一股份	+1.85%		+5.09%		+5.07%		--		--		+3.04%		--		1.60		1600043100	13035144100	3083938700000	2691423900000	
港口航运	+0.49%		+0.03%		+0.01%		-0.16		-253274340	0		29		4		海航科技	+1.32%		-0.35%		-0.25%		--		--		+1.32%		--		0.99		1353183100	8961722300	1102467810000	959318600000	
种植业与林业	+0.45%		+0.02%		+0.02%		0.28		-143457150	0		20		10		亚盛集团	+2.68%		+2.00%		+1.80%		--		--		+2.68%		--		1.16		1339539300	12830780000	224679750000	214985380000	
汽车服务及其他	+0.44%		+0.03%		+0.01%		-0.05		-50914550	0		16		9		涛涛车业	+1.30%		+2.27%		+0.78%		--		--		+1.53%		--		1.08		234588750	4075585800	273067140000	232528680000	
物流		+0.41%		-0.00%		-0.01%		-0.60		-283879060	1		31		16		*ST原尚		+1.30%		+1.42%		+0.38%		--		--		+0.82%		--		0.93		840779620	7797736000	753520400000	639236680000	
旅游及酒店	+0.41%		+0.04%		+0.04%		-0.83		-229442220	0		27		4		大连圣亚	+1.80%		+1.33%		+3.22%		--		--		+1.45%		--		0.95		650665360	7008637100	262440640000	231891000000	
农产品加工	+0.41%		+0.01%		+0.02%		-0.02		-19508760	0		30		10		百洋股份	+1.70%		+0.37%		+0.75%		--		--		+1.37%		--		1.08		646341150	6005904400	555692820000	375010330000	
汽车整车	+0.33%		+0.01%		+0.00%		0.18		-231197750	0		13		6		众泰汽车	+1.40%		+0.53%		-0.26%		--		--		+1.06%		--		1.05		1147894830	17479362000	2147932300000	1458688000000	
公路铁路运输	+0.30%		-0.01%		-0.01%		-0.32		-245375870	0		21		6		重庆路桥	+0.03%		-0.97%		-1.99%		--		--		-0.14%		--		0.81		708951060	4321959900	808576870000	752724540000	
钢铁		+0.30%		+0.02%		+0.07%		0.42		+135851930	0		22		15		包钢股份	+3.05%		+3.72%		+6.75%		--		--		+3.05%		--		1.20		3557287300	17017498000	1054086970000	976264230000	
煤炭开采加工	+0.29%		+0.03%		-0.01%		-0.66		-322247230	0		21		11		中国神华	+6.50%		+5.13%		+2.24%		--		--		+5.97%		--		1.02		1431299000	11447569600	1912692200000	1616356300000	
橡胶制品	+0.25%		+0.03%		+0.03%		-1.81		-384456260	0		11		9		科强股份	+4.38%		+1.51%		+2.18%		--		--		+2.90%		--		1.31		241460090	6335867300	133644526000	116111428000	
建筑材料	+0.24%		+0.04%		+0.04%		-1.13		-744113730	1		33		35		志特新材	+5.21%		+5.37%		+7.27%		--		--		+5.79%		--		1.00		2010749300	21856514000	884074950000	769099650000	
轨交设备	+0.19%		+0.05%		+0.06%		-0.29		-87505140	0		20		10		日月明		+3.84%		+4.08%		+6.69%		--		--		+3.48%		--		0.97		444016360	4322300900	471547430000	392204870000	
小家电		+0.14%		+0.03%		+0.03%		-0.21		-79950430	1		17		8		ST德豪		+4.33%		+4.37%		+3.16%		--		--		+3.41%		--		1.00		214372800	4661600300	266500670000	258200370000	
化学纤维	+0.05%		+0.03%		+0.06%		-0.86		-234114710	0		13		15		汇隆新材	+3.77%		+7.45%		+12.73%		--		--		+4.20%		--		0.89		968751890	8676225100	349535590000	302642810000	
农化制品	-0.19%		+0.01%		+0.01%		-0.75		-861621020	0		30		28		*ST辉丰		+3.91%		+4.06%		+5.13%		--		--		+4.58%		--		0.96		1327569590	20251854000	1038830900000	979134060000	
银行		-0.25%		-0.07%		-0.07%		-0.09		-1240591500	0		13		23		渝农商行	-1.29%		-1.31%		-0.81%		--		--		-1.13%		--		0.90		3094723700	26279292000	15294445000000	10319159400000	
光伏设备	-0.37%		+0.01%		+0.01%		-3.29		-5263623700	1		21		53		琏升科技	+7.07%		+8.26%		+10.11%		--		--		+8.58%		--		1.40		3603442300	76083197000	1793652800000	1554990500000	
厨卫电器	-0.64%		+0.06%		+0.06%		-2.16		-93013758	0		6		2		亿田智能	+3.72%		+2.33%		+3.49%		--		--		+4.98%		--		1.37		137069860	1593552400	64530335000	60180402000	
机场航运	-0.67%		-0.06%		-0.07%		-0.83		-385058080	0		4		8		中信海直	-1.31%		+0.76%		+3.85%		--		--		-0.62%		--		0.74		978168650	5503775700	811675970000	664085070000	
保险		-0.84%		+0.01%		-0.06%		-0.69		-3496019400	0		1		4		中国人保	+8.80%		+7.65%		+15.24%		--		--		+9.09%		--		1.20		397724170	20806768000	3762286600000	2587161000000	
