板块名称		涨幅		1分钟涨速		4分钟涨速		主力净量		主力金额		涨停数		涨家数		跌家数		领涨股		5日涨幅		10日涨幅		20日涨幅		概念解析		创建日期		年初至今		20160127至今		量比		总手		总金额		总市值		流通市值
建筑装饰	+1.23%		+0.01%		+0.01%		-0.25		-1032736300	8		107		36		美芝股份	+5.82%		+6.58%		+9.33%		--		--		+7.14%		+54.12%		1.20		4868310500	46892902000	2000532400000	1755461900000
工业金属	+1.19%		+0.01%		+0.01%		-1.65		-3872220900	2		29		28		银邦股份	+5.78%		+11.71%		+17.23%		--		--		+7.74%		--		1.03		5620493600	80272418000	3231649300000	2727327700000
化学制品	+1.11%		+0.02%		+0.02%		-1.11		-1368793100	0		120		48		侨源股份	+4.52%		+4.54%		+8.56%		--		--		+5.61%		+154.66%	1.19		2786023000	49553340000	1761270000000	1565565300000
元件		+1.09%		+0.04%		+0.04%		-3.14		-5430751900	0		40		19		ST惠伦		+3.65%		+5.65%		+8.40%		--		--		+6.43%		--		1.12		1641189300	63992725000	1814090000000	1655549400000
化学纤维	+1.07%		+0.01%		+0.01%		-0.02		-169426440	0		20		7		吉林碳谷	+3.95%		+6.83%		+15.30%		--		--		+4.88%		--		0.98		1052481940	9337235700	352430560000	304960060000
燃气		+1.04%		-0.00%		-0.00%		-0.84		-12698990	1		19		8		德龙汇能	+3.56%		+4.74%		+10.20%		--		--		+4.45%		--		1.14		633128120	7493827000	276659410000	262299180000
其他电源设备	+0.99%		+0.04%		+0.04%		-2.24		-2189060400	0		20		12		爱科赛博	+8.40%		+7.03%		+13.78%		--		--		+10.21%		--		1.41		1774714000	35727162000	685107810000	539106800000
汽车服务及其他	+0.97%		+0.04%		+0.04%		-0.27		-135202580	0		20		3		中汽股份	+2.08%		+2.30%		+3.99%		--		--		+2.29%		--		1.28		291103940	4819311500	272603500000	233256890000
造纸		+0.94%		+0.04%		+0.05%		-0.25		-60028440	0		15		7		齐峰新材	+1.51%		-2.27%		+6.64%		--		--		+1.61%		--		1.31		843451430	5445160400	180144950000	172260310000
化学原料	+0.88%		+0.01%		+0.01%		-0.37		-273610120	2		38		19		金晶科技	+6.50%		+6.67%		+10.37%		--		--		+7.42%		+79.04%		1.04		1867785800	19583002000	719144320000	681836340000
环境治理	+0.85%		+0.06%		+0.06%		-1.17		-994025700	2		83		26		通源环境	+3.74%		+4.95%		+6.01%		--		--		+5.43%		+21.97%		1.20		2383383300	23575657000	802691950000	686647660000
贸易		+0.83%		+0.01%		+0.01%		-1.01		-87569461	0		7		6		厦门信达	+2.84%		+3.67%		+6.76%		--		--		+4.51%		--		1.47		443760540	3065858400	171114090000	104056153000
电池		+0.76%		+0.03%		+0.03%		-2.66		-6496225700	2		63		38		道氏技术	+2.72%		+4.01%		+7.73%		--		--		+5.63%		--		1.15		3184700700	111682293000	3530399400000	3193127200000
养殖业		+0.74%		+0.01%		+0.01%		-0.94		-334551240	1		26		12		福成股份	+3.44%		+3.16%		+4.82%		--		--		+4.39%		+23.81%		1.23		1201980110	10496345600	647894010000	529184500000
公路铁路运输	+0.70%		+0.03%		+0.03%		0.03		+46262080	0		25		4		海南高速	+1.31%		-0.68%		+0.26%		--		--		+0.73%		--		1.09		972673730	5891553500	815229140000	758884500000
