代码		    名称		涨幅		现价		当日成交额		主力净额		资金流向		主力资金流向[20260112]		净流入		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		开盘涨幅		早盘竞价金额		尾盘竞价金额		首次涨停时间		最终涨停时间		
SZ002168	*ST惠程		-0.73%		4.07		2898.16万	-4175596	--		-259.26万	-6179304	0.91%		0.92		31.92亿		--		--		电网设备	【ST板块;网络游戏;手机游戏;腾讯概念;区块链;创投;新能源汽车;国企改革;储能;西部大开发;充电桩;高压快充;华为概念;光伏概念;智能电网】	--		--		+7.11%		+12.43%		+0.49		+0.49%		126896		79365		--		--		
SZ002169	智光电气	-5.49%		11.53		9.56亿		-145166520	--		-1.51亿		-191153283	10.77%		1.26		87.48亿		--		--		电网设备	【钒电池;特高压;充电桩;智能电网;光伏概念;宁德时代概念;储能;虚拟电厂;电力物联网;芯片概念;数据中心;工业互联网;绿色电力;碳中和;深股通;融资融券】	--		--		+11.08%		+28.97%		-0.57		-0.57%		12087545	5082424		--		--		
SZ002170	芭田股份	-1.76%		12.27		6.69亿		+36665048	--		-6960.25万	-166693997	6.96%		1.48		96.27亿		--		--		农化制品	【磷化工;化肥;钠离子电池;锂电池概念;生态农业;垃圾分类;2025三季报预增;土地流转;农村电商;乡村振兴;无人机;转基因;数字乡村;物联网;人工智能;深股通】	--		--		+1.66%		+3.37%		-0.32		-0.32%		2548515		13785345	--		--		
SZ002171	楚江新材	+9.99%		15.64		33.86亿		+168800410	3.23亿		3.21亿		322824940	13.88%		1.52		252.39亿	--		商业航天+可控核聚变+铜基材料	工业金属	【培育钻石;可控核聚变;大飞机;碳纤维;商业航天;第三代半导体;军民融合;军工;2025三季报预增;充电桩;3D打印;风电;专精特新;卫星导航;燃料电池;新能源汽车;机器人概念;人形机器人;PCB概念;钒电池;MiniLED;回购增持再贷款概念;锂电池概念;固态电池;动力电池回收;深股通;融资融券】	--		--		+20.31%		+31.98%		+1.97		+1.97%		18391800	5846388		13:00:48	14:15:30	
SZ002172	澳洋健康	+0.24%		4.18		1.05亿		-6680178	--		-167.88万	-377249		3.29%		1.20		31.99亿		--		--		医疗服务	【民营医院;医美概念;养老概念;毛发医疗;三胎概念;冷链物流;高压氧舱;国企改革;股权转让(并购重组)】	--		--		+0.00%		+5.03%		+0.24		+0.24%		1450042		957638		--		--		
SZ002173	创新医疗	+6.78%		36.99		70.25亿		-832867520	7143.71万	-2.22亿		71429720	46.32%		4.45		153.99亿	--		--		医疗服务	【脑机接口;高压氧舱;智能医疗;医疗器械概念;医美概念;眼科医疗;华为昇腾;人工智能;养老概念;民营医院;DeepSeek概念;共同富裕示范区;三胎概念;深股通;融资融券】	--		--		+67.68%		+75.72%		+2.19		+2.19%		210895500	56480031	--		--		
SZ002174	游族网络	+3.65%		13.63		8.57亿		-37573163	8243.17万	1352.21万	82345832	6.48%		1.98		133.96亿	--		--		游戏		【云游戏;电子竞技;手机游戏;虚拟现实;网络游戏;腾讯概念;华为概念;抖音概念(字节概念);AIGC概念;人工智能;IP经济(谷子经济);DeepSeek概念;人民币贬值受益;深股通;融资融券】	--		--		+7.49%		+18.42%		+1.14		+1.14%		5246850		6632385		--		--		
SZ002175	东方智造	+2.41%		4.68		3.57亿		+1279507	5380.04万	2520.79万	53800424	6.03%		1.51		59.75亿		--		--		通用设备	【物业管理;股权转让(并购重组);西部大开发;智能物流;物联网;工业互联网;新能源汽车;芯片概念;高端装备;深股通】	--		--		+0.00%		+5.64%		+0.00		+0.00%		2115910		7088328		--		--		
SZ002176	江特电机	+2.87%		10.39		9.29亿		-2448794	4176.59万	1488.98万	41765883	5.25%		1.28		177.26亿	--		--		电机		【小金属概念;固态电池;锂电池概念;抽水蓄能;深股通;融资融券;新能源汽车;人形机器人;军工;风电;无人机;机器人概念;大飞机;股权转让(并购重组)】	--		--		+5.38%		+9.48%		+1.98		+1.98%		7007090		10898071	--		--		
SZ002177	御银股份	+5.98%		9.92		29.95亿		+137780620	--		5419.69万	-68313350	45.74%		1.09		66.95亿		--		--		零售		【互联网金融;人脸识别;物业管理;创投;国产操作系统;粤港澳大湾区;数字经济;深股通;融资融券】	--		--		+40.71%		+51.91%		-2.24		-2.24%		30746745	44067021	14:44:06	14:46:09	
SZ002178	延华智能	+4.02%		6.99		3.53亿		+9441319	2366.87万	969.22万	23675044	7.15%		2.15		49.75亿		--		--		软件开发	【家庭医生;智慧政务;AI智能体;数据要素;智慧城市;养老概念;智能医疗;鸿蒙概念;DeepSeek概念;人工智能;安防;医疗器械概念;华为概念;物联网;碳中和;数据中心】	--		--		+9.56%		+8.20%		+1.19		+1.19%		1484440		4739220		--		--		
SZ002179	中航光电	+4.35%		40.58		44.82亿		+48317850	2518.72万	3817.73万	25187210	5.29%		1.15		851.21亿	--		--		军工电子	【成飞概念;军民融合;国产航母;大飞机;低空经济;军工;卫星导航;商业航天;无人机;国企改革;换电概念;专精特新;机器人概念;车联网(车路协同);华为概念;新能源汽车;充电桩;核电;比亚迪概念;数据中心;5G;特斯拉概念;储能;芯片概念;量子科技;高压快充;可控核聚变;光纤概念;液冷服务器;铜缆高速连接;深股通;融资融券;共封装光学(CPO);中字头股票】	--		--		+16.31%		+23.64%		+2.78		+2.78%		47728177	42286795	--		--		
SZ002180	纳思达		+1.35%		21.82		5.76亿		+10314743	784.24万	2390.67万	7842402		1.93%		0.93		297.86亿	--		--		计算机设备	【鸿蒙概念;信创;物联网;人民币贬值受益;机器人概念;小米概念;军工;高端装备;芯片概念;人形机器人;MCU芯片;汽车芯片;深股通;融资融券】	--		--		+13.17%		+19.63%		-0.05		-0.05%		4254504		3438832		--		--		
SZ002181	粤 传 媒	+10.02%		11.09		16.38亿		+91620693	2616.55万	5005.78万	26165493	13.50%		2.81		125.82亿	2		AI营销+全运会IP+广州国资	文化传媒	【短剧游戏;文化传媒概念;旅游概念;IP经济(谷子经济);网红经济;职业教育;足球概念;广东自贸区;体育产业;虚拟数字人;智慧政务;数字经济;互联网金融;独角兽概念;人工智能;创投;参股券商;国企改革;粤港澳大湾区;融资融券;AIGC概念;深股通】	--		--		+30.01%		+28.06%		+2.98		+2.98%		59296788	3658591		11:25:18	11:25:18	
SZ002182	宝武镁业	+0.52%		17.24		7.78亿		-21371010	--		-3203.04万	-73638439	5.18%		0.94		149.21亿	--		--		小金属		【小金属概念;宁德时代概念;3D打印;特斯拉概念;比亚迪概念;富士康概念;一体化压铸;苹果概念;氢能源;消费电子概念;飞行汽车(eVTOL);军工;无人机;华为汽车;5G;商业航天;机器人概念;低空经济;长安汽车概念;华为概念;央企国企改革;国企改革;深股通;融资融券】	--		--		+14.32%		+23.85%		+2.27		+2.27%		5806442		3079754		--		--		
SZ002183	怡 亚 通	+3.72%		5.30		7.15亿		-33430814	1.08亿		3690.04万	107987653	5.21%		1.67		137.64亿	--		--		贸易		【金属回收;储能;粤港澳大湾区;深圳国企改革;锂电池概念;充电桩;创投;一带一路;物业管理;智能物流;国企改革;低空经济;数据中心;冷链物流;华为概念;新能源汽车;统一大市场;啤酒概念;DeepSeek概念;人工智能;无人机;消费电子概念;乳业;东数西算(算力);新型烟草(电子烟);信创;国产操作系统;华为鲲鹏;智能医疗;卫星导航;鸿蒙概念;云计算;商业航天;芯片概念;白酒概念;医药电商;跨境支付(CIPS);存储芯片;深股通;融资融券】	--		--		+9.05%		+15.22%		+1.57		+1.57%		6673302		3066050		--		--		
SZ002184	海得控制	+2.56%		14.00		2.21亿		+4377379	1682.81万	606.83万	16828107	6.63%		1.28		33.65亿		--		--		自动化设备	【新型工业化;高端装备;工业母机;智能物流;工业互联网;机器人概念;机器视觉;华为概念;军工;风电;创投;信创;DeepSeek概念;东数西算(算力);5G;芯片概念;华为鲲鹏;数据中心;光伏概念;智能电网;储能;智能医疗;虚拟电厂;共封装光学(CPO)】	--		--		+7.94%		+7.69%		+0.15		+0.15%		1205694		3731000		--		--		
SZ002185	华天科技	+3.67%		12.14		19.11亿		+131442205	2.32亿		1.16亿		231797900	4.88%		1.80		395.54亿	--		--		半导体		【存储芯片;国家大基金持股;华为海思概念股;先进封装;芯片概念;共封装光学(CPO);智能座舱;传感器;汽车电子;西部大开发;5G;毫米波雷达;华为概念;机器人概念;无人驾驶;深股通;融资融券】	--		--		+9.17%		+11.79%		+0.43		+0.43%		4434696		25285192	--		--		
SZ002186	全 聚 德	+1.60%		12.06		1.15亿		+1809961	1751.71万	679.45万	17517098	3.11%		1.47		36.97亿		--		--		旅游及酒店	【预制菜;网红经济;IP经济(谷子经济);白酒概念;职业教育;超级品牌;NFT概念;京津冀一体化;国企改革;雄安新区】	--		--		+0.92%		+4.60%		+0.17		+0.17%		851324		1202382		--		--		
SZ002187	广百股份	+2.53%		8.91		11.56亿		-87601440	--		-3748.17万	-71367861	18.42%		1.78		62.45亿		--		--		零售		【免税店;广东自贸区;预制菜;物业管理;农村电商;网红经济;IP经济(谷子经济);创投;国企改革;粤港澳大湾区;深股通】	--		--		+7.87%		+23.41%		+1.61		+1.61%		42991504	22577049	--		--		
SZ002188	中天服务	+2.35%		6.53		1.64亿		-7434526	1820.12万	594.31万	18201203	9.85%		1.06		16.81亿		--		--		房地产		【物业管理;养老概念;共同富裕示范区;长三角一体化】	--		--		+4.31%		+13.76%		+0.47		+0.47%		1026241		1743510		--		--		
SZ002189	中光学		+5.06%		25.35		3.47亿		+21254765	8155.44万	2785.76万	81574580	5.31%		2.32		66.20亿		--		--		军工电子	【兵装重组概念;军民融合;军工;安防;央企国企改革;数字经济;国企改革;车联网(车路协同);华为概念;虚拟现实;家用电器;3D打印;无人驾驶;MR(混合现实);机器视觉;长安汽车概念;证金持股;消费电子概念;AI眼镜;汽车电子;智能座舱;深股通;中字头股票;融资融券】	--		--		+11.18%		+9.65%		+1.37		+1.37%		1832054		5196750		--		--		
SZ002190	成飞集成	+1.38%		41.14		11.98亿		-82819231	--		-5000.86万	-64148030	8.30%		1.57		147.58亿	--		--		汽车零部件	【成飞概念;大飞机;航空发动机;军工;无人机;低空经济;商业航天;国企改革;西部大开发;专精特新;长安汽车概念;华为汽车;储能;新能源汽车;锂电池概念;融资融券;深股通】	--		--		+10.53%		+11.13%		+0.00		+0.00%		17242442	27263478	--		--		
SZ002191	劲嘉股份	+8.84%		4.68		4.90亿		+65581332	7613.17万	6620.20万	76070417	7.38%		6.45		67.42亿		--		--		包装印刷	【IP经济(谷子经济);烟草;粤港澳大湾区;区块链;蚂蚁集团概念;物联网;PET铜箔;新型烟草(电子烟);芯片概念;深股通;融资融券】	--		--		+6.85%		+14.15%		+1.16		+1.16%		1103595		3605940		10:06:03	10:06:03	
SZ002192	融捷股份	+2.66%		57.46		11.52亿		+21661204	--		-1612.20万	-55318968	7.72%		0.99		148.89亿	--		--		能源金属	【锂电池概念;深股通;比亚迪概念;回购增持再贷款概念;粤港澳大湾区;融资融券】	--		--		+9.07%		+14.94%		+3.73		+3.73%		23020790	8516262		--		--		
SZ002193	如意集团	+2.08%		5.41		5460.80万	+1017569	971.65万	168.64万	9716496		3.88%		0.98		14.16亿		--		--		服装家纺	【新疆振兴;数字经济;人民币贬值受益;工业互联网】	--		--		-1.10%		-1.28%		+0.57		+0.57%		328328		1296777		--		--		
SZ002194	武汉凡谷	+3.65%		14.50		9.55亿		+15174751	4519.30万	1101.08万	45192952	13.06%		1.87		74.08亿		--		--		通信设备	【卫星导航;商业航天;军工;毫米波雷达;汽车电子;职业教育;创投;5G;华为概念;芯片概念;融资融券;深股通】	--		--		+10.86%		+14.81%		+0.86		+0.86%		7670196		13183400	--		--		
SZ002195	岩山科技	+10.05%		11.39		103.42亿	+1484816500	13.04亿		13.44亿		1303785700	16.63%		1.08		637.98亿	--		脑机接口+AI大模型+人形机器人	IT服务		【AI PC;多模态AI;AI语料;阿里巴巴概念;云计算;脑机接口;鸿蒙概念;AI智能体;元宇宙;AIGC概念;百度概念;网络安全;腾讯概念;华为概念;数据中心;区块链;人形机器人;人工智能;机器人概念;网络游戏;DeepSeek概念;智能医疗;无人驾驶;短剧游戏;创投;融资融券;深股通】	--		327686		+65.79%		+69.24%		+4.35		+4.35%		254502000	7141530		09:55:33	09:55:33	
SZ002196	方正电机	+1.04%		15.57		15.75亿		-16806521	91.65万		473.67万	916537		20.87%		0.98		76.03亿		--		--		电机		【人形机器人;特斯拉概念;机器人概念;新能源汽车;共同富裕示范区;家用电器;汽车电子;航空发动机;无人机;低空经济;一带一路;国企改革】	--		--		+14.15%		+25.67%		+0.13		+0.13%		8916997		14568849	--		--		
SZ002197	证通电子	+2.97%		10.76		3.43亿		+8974411	4868.67万	3194.63万	48686705	6.04%		0.86		57.46亿		--		--		IT服务		【数据中心;智慧灯杆;数字水印;算力租赁;腾讯概念;抖音概念(字节概念);东数西算(算力);阿里巴巴概念;NFT概念;互联网金融;数字经济;华为概念;机器人概念;区块链;充电桩;智慧政务;人工智能;粤港澳大湾区;数字货币;智慧城市;职业教育;鸿蒙概念;数据要素;云计算;信创;智能医疗;网络安全;ChatGPT概念;垃圾分类;钠离子电池;百度概念;移动支付;DeepSeek概念;数据安全;芯片概念;乡村振兴;摘帽】	--		--		-3.06%		+1.80%		+0.10		+0.10%		3182978		5131444		--		--		
SZ002198	嘉应制药	-1.09%		7.27		1.09亿		-15378930	--		-2668.79万	-35278006	2.95%		0.97		36.89亿		--		--		中药		【流感;医药电商;医疗器械概念;仿制药一致性评价;创新药;融资融券】	--		--		-1.49%		+3.71%		+0.68		+0.68%		294520		4556109		--		--		
SZ002199	*ST东晶		-2.39%		9.81		7547.31万	-5348487	--		-167.69万	-12502195	3.14%		1.55		23.88亿		--		--		元件		【ST板块;股权转让(并购重组)】	--		--		+20.66%		+13.94%		+0.70		+0.70%		745844		292338		--		--		
SZ002200	*ST交投		+0.27%		7.48		1473.99万	+362791		--		18.76万		-1423668	1.01%		1.17		14.64亿		--		--		建筑装饰	【ST板块;特色小镇;PPP概念;污水处理;国企改革;西部大开发】	--		--		-0.40%		+7.78%		-0.27		-0.27%		299832		224400		--		--		
SZ002201	九鼎新材	+4.30%		12.13		14.48亿		-69627453	--		-6611.29万	-29760624	19.89%		1.18		73.03亿		--		--		建筑材料	【商业航天;高铁;风电;比亚迪概念;深股通;融资融券】	--		--		+7.25%		+44.23%		+2.06		+2.06%		39075803	40235841	--		--		
SZ002202	金风科技	+9.99%		35.13		131.90亿	-1901560300	--		-15.37亿	-856435120	11.28%		0.61		1181.84亿	5		参股蓝箭航天+风电龙头+绿氢氨醇	风电设备	【商业航天;海工装备;风电;氢能源;抽水蓄能;储能;绿色电力;碳交易;工业互联网;污水处理;碳中和;西部大开发;新疆振兴;人工智能;PPP概念;创投;同花顺出海50;独角兽概念;深股通;融资融券】	--		327685		+83.26%		+106.89%	+6.42		+6.42%		627010131	10281532	09:51:48	10:41:09	
SZ002203	海亮股份	+2.56%		14.41		15.53亿		-181219490	--		-1.39亿		-100636910	4.92%		2.93		318.77亿	--		--		工业金属	【液冷服务器;PET铜箔;特斯拉概念;金属镍;金属铜;小金属概念;固态电池;锂电池概念;钒电池;深股通;融资融券;回购增持再贷款概念;华为概念;绿色电力;参股银行】	--		0		+17.06%		+22.85%		+3.20		+3.20%		25293800	5207774		--		--		
SZ002204	大连重工	+3.04%		8.13		8.02亿		-19171081	6669.06万	3116.00万	66683309	5.14%		1.07		157.02亿	--		--		专用设备	【核电;海工装备;超超临界发电;风电;高端装备;军工;国企改革;雄安新区;商业航天;机器人概念;数字孪生;无人驾驶;深股通;融资融券】	--		--		+5.72%		+10.31%		+1.14		+1.14%		3776136		7930815		--		--		
SZ002205	国统股份	-0.14%		13.90		9471.93万	-8062559	--		163.10万	-340664		3.67%		1.22		25.83亿		--		--		建筑材料	【地下管网;装配式建筑;新型城镇化;水利;PPP概念;污水处理;新疆振兴;雄安新区;高铁;国企改革;西部大开发;央企国企改革;风电】	--		--		-0.57%		+2.96%		-1.72		-1.72%		3916584		1200960		--		--		
SZ002206	海 利 得	+0.97%		6.24		2.05亿		+6709352	2068.87万	1312.01万	20688654	3.91%		1.10		53.23亿		--		--		化学纤维	【光伏概念;中俄贸易概念;一带一路;回购增持再贷款概念;俄乌冲突概念;长三角一体化;海工装备;创投;PEEK材料;人民币贬值受益;新能源汽车;工业互联网;深股通;融资融券】	--		--		+6.12%		+12.64%		-0.81		-0.81%		2898264		1520688		--		--		
SZ002207	准油股份	-1.80%		8.20		2.68亿		-27964468	--		-2222.38万	-49231477	12.56%		0.73		21.39亿		--		--		油气开采及服务	【页岩气;俄乌冲突概念;天然气;新疆振兴;西部大开发;国企改革】	--		--		+10.51%		+9.63%		-1.56		-1.56%		5098044		4537060		--		--		
SZ002208	合肥城建	-2.36%		13.65		14.00亿		-71760966	--		-9267.31万	-252058550	12.61%		0.81		109.62亿	--		--		房地产		【租售同权;新型城镇化;物业管理;国企改革;长三角一体化;创投;养老概念;独角兽概念;深股通】	--		--		+20.26%		+20.37%		+0.00		+0.00%		19282614	18543525	--		--		
SZ002209	达 意 隆	-1.34%		16.18		1.24亿		-5761247	--		-522.67万	-16128870	4.90%		1.07		25.29亿		--		--		专用设备	【污水处理;消毒剂;粤港澳大湾区;工业互联网;新型工业化;机器人概念】	--		--		-2.76%		+6.03%		+0.67		+0.67%		112268		1040374		--		--		
SZ002210	飞马国际	+0.86%		3.51		4.36亿		-63443580	709.12万	-2748.36万	7091190		4.72%		1.10		93.23亿		--		--		环境治理	【统一大市场;PPP概念;生物质能发电;固废处理;粤港澳大湾区;绿色电力;深股通;融资融券;股权转让(并购重组)】	--		--		-5.65%		-4.62%		-0.86		-0.86%		1553190		2270970		--		--		
SZ002211	ST宏达		+0.00%		3.33		2133.20万	-2979375	--		-254.74万	-369357		1.48%		1.43		14.40亿		--		--		化学制品	【ST板块;有机硅概念】	--		--		+0.60%		+4.72%		+0.30		+0.30%		64462		2332332		--		--		
SZ002212	天融信		+6.72%		10.17		11.46亿		+51862414	2.29亿		1.16亿		229511121	9.88%		2.52		118.67亿	--		--		软件开发	【量子科技;数字货币;数据安全;华为鲲鹏;网络安全;华为昇腾;信创;EDR概念;财税数字化;ChatGPT概念;云计算;电子身份证;智慧政务;云办公;AI智能体;数据确权;鸿蒙概念;区块链;互联网金融;数字水印;跨境支付(CIPS);东数西算(算力);腾讯概念;阿里巴巴概念;华为概念;智慧城市;人工智能;车联网(车路协同);DeepSeek概念;物联网;数字经济;数据中心;低空经济;新型工业化;卫星导航;工业互联网;商业航天;智慧灯杆;无人机;机器人概念;芯片概念;水利;智能电网;雄安新区;一带一路;深股通;融资融券】	--		0		+14.53%		+16.10%		+1.89		+1.89%		3733495		14220711	--		--		
SZ002213	大为股份	+3.50%		28.66		10.75亿		-29884000	--		-2445.37万	-446636		18.21%		0.90		59.25亿		--		--		半导体		【存储芯片;WiFi 6;小金属概念;汽车芯片;PCB概念;消费电子概念;芯片概念;硅能源;锂电池概念;信创;比亚迪概念;粤港澳大湾区;无人驾驶;新能源汽车;创投】	--		--		+5.80%		+6.15%		+1.84		+1.84%		5532840		7858572		--		--		
SZ002214	*ST大立		-0.85%		18.77		1.02亿		-13670736	--		-2216.62万	-37559403	1.13%		0.99		89.91亿		--		--		军工电子	【房屋检测;ST板块;智能电网;军工;军民融合;安防;机器人概念;无人驾驶;芯片概念;卫星导航;无人机;传感器;商业航天】	--		--		+3.08%		+15.29%		+0.21		+0.21%		235228		260903		--		--		
SZ002215	诺 普 信	+4.20%		11.40		3.56亿		+18773562	3005.04万	941.95万	30050365	4.05%		2.31		89.56亿		--		--		种植业与林业	【草甘膦;土壤修复;粤港澳大湾区;乡村振兴;生态农业;互联网金融;农业种植;农村电商;数字乡村;数字经济;深股通;融资融券】	--		--		+3.26%		+5.85%		+0.09		+0.09%		983310		2549040		--		--		
SZ002216	三全食品	+1.74%		11.71		1.09亿		+6060546	1991.53万	934.72万	19915345	1.48%		1.13		73.82亿		--		--		食品加工制造	【预制菜;超级品牌;网红经济;冷链物流;融资融券;深股通】	--		--		+0.86%		+5.59%		-0.17		-0.17%		199237		1296297		--		--		
SZ002217	合力泰		+3.83%		3.25		9.34亿		+45308604	2.99亿		1.14亿		298767881	5.12%		1.84		184.61亿	--		--		光学光电子	【海峡两岸;福建自贸区;华为手机;算力租赁;虚拟现实;PCB概念;电子纸;ETC;东数西算(算力);5G;柔性屏(折叠屏);华为概念;汽车电子;消费电子概念;富士康概念;创投;智能穿戴;机器人概念;人民币贬值受益;比亚迪概念;新能源汽车;传感器;国企改革;无线充电;OLED;深股通;摘帽】	--		--		+4.17%		-4.13%		+0.00		+0.00%		4194200		7243275		--		--		
SZ002218	拓日新能	+4.31%		4.84		8.14亿		+9494774	2233.87万	1246.28万	22338659	12.00%		1.15		67.39亿		--		--		电力		【钙钛矿电池;光伏建筑一体化;HJT电池;POE胶膜;硅能源;光伏概念;绿色电力;充电桩;商业航天;储能;卫星导航;粤港澳大湾区;新能源汽车;华为概念;芯片概念;深股通;融资融券】	--		--		+10.25%		+13.88%		+1.29		+1.29%		16266700	11561792	--		--		
SZ002219	新里程		+3.18%		2.27		2.59亿		+12510758	6780.99万	3653.37万	67809946	3.52%		2.05		74.28亿		--		--		医疗服务	【民营医院;养老概念;西部大开发;智能医疗;DeepSeek概念;人工智能;深股通;融资融券】	--		--		+3.65%		+2.71%		+0.00		+0.00%		658460		7346401		--		--		
SZ002221	东华能源	-0.12%		8.31		1.67亿		-10271543	--		-1529.97万	-26075178	1.39%		1.39		121.40亿	--		--		石油加工贸易	【跨境电商;碳纤维;天然气;页岩气;俄乌冲突概念;氢能源;燃料电池;核电;深股通;融资融券】	--		--		+2.85%		+8.91%		-0.24		-0.24%		1313060		2194671		--		--		
SZ002222	福晶科技	+3.90%		72.12		35.06亿		+233777270	--		9433.69万	-34805880	10.16%		1.39		337.63亿	--		--		光学光电子	【光纤概念;福建自贸区;虚拟现实;华为概念;海峡两岸;无人驾驶;国企改革;深股通;融资融券】	--		--		+22.07%		+14.60%		+4.02		+4.02%		36959180	22624044	--		--		
SZ002223	鱼跃医疗	+7.66%		43.45		15.06亿		+150948500	2.09亿		1.56亿		209332474	3.75%		2.84		408.50亿	--		--		医疗器械	【养老概念;三胎概念;眼科医疗;医疗器械概念;幽门螺杆菌概念;智能医疗;血氧仪;蚂蚁集团概念;消毒剂;雅下水电概念;深股通;融资融券】	--		--		+15.90%		+23.61%		+0.79		+0.79%		5630112		8320675		14:07:24	14:09:12	
SZ002224	三 力 士	+0.44%		4.53		9477.42万	-4132604	--		-643.65万	-3279398	2.60%		1.42		36.53亿		--		--		橡胶制品	【体育产业;工业大麻;回购增持再贷款概念;农机;储能;机器人概念】	--		--		+1.34%		+1.80%		+0.22		+0.22%		575396		1422873		--		--		
SZ002225	濮耐股份	-0.81%		6.11		1.86亿		-17275450	--		-1328.79万	-51456265	3.11%		0.73		59.52亿		--		--		建筑材料	【碳中和;中俄贸易概念;俄乌冲突概念;氢能源;证金持股;燃料电池;小金属概念;深股通】	--		--		+1.16%		+8.53%		+0.00		+0.00%		1057672		1572103		--		--		
SZ002226	江南化工	+0.00%		6.02		2.25亿		-52878659	--		-3789.63万	-23820322	1.42%		1.51		159.46亿	--		--		化学制品	【民爆概念;绿色电力;新疆振兴;国企改革;雅下水电概念;央企国企改革;一带一路;风电;水利;创投;军民融合;军工;专精特新;独角兽概念;新能源汽车;人工智能;比亚迪概念;多模态AI;AI语料;深股通】	--		--		+1.69%		+1.35%		+0.33		+0.33%		950696		3798018		--		--		
SZ002227	奥 特 迅	+0.72%		12.55		7423.45万	-3904515	357.65万	20.54万		3576472		2.42%		1.40		30.87亿		--		--		其他电源设备	【换电概念;柔性直流输电;高压快充;虚拟电厂;钒电池;特高压;充电桩;智能电网;储能;风电;核电;粤港澳大湾区;比亚迪概念;数据中心;人工智能;阿里巴巴概念】	--		--		+0.97%		-1.18%		+0.32		+0.32%		310000		2538865		--		--		
SZ002228	合兴包装	+5.47%		5.01		10.51亿		+55512454	--		4634.49万	-9632083	17.27%		1.39		60.59亿		--		--		包装印刷	【福建自贸区;海峡两岸;数字水印;回购增持再贷款概念;小米概念】	--		--		-22.33%		+6.82%		+0.63		+0.63%		9045672		11975904	09:42:12	09:42:12	
SZ002229	鸿博股份	+2.74%		17.25		10.14亿		-39297033	4990.63万	148.06万	49906279	12.04%		1.52		85.07亿		--		--		包装印刷	【数字水印;福建自贸区;海峡两岸;算力租赁;Web3.0;东数西算(算力);数据中心;数据要素;体育产业;数字经济;元宇宙;区块链;云计算;人工智能;AIGC概念;虚拟数字人;DeepSeek概念;ChatGPT概念;英伟达概念;融资融券;深股通】	--		--		+7.75%		-1.93%		+1.37		+1.37%		7270944		11609250	--		--		
SZ002230	科大讯飞	+7.19%		59.60		117.95亿	+760758850	17.32亿		12.86亿		1732259430	9.13%		1.82		1304.79亿	--		--		软件开发	【多模态AI;AI语料;ChatGPT概念;华为昇腾;中国AI 50;AI智能体;AIGC概念;云计算;智慧政务;量子科技;虚拟数字人;阿里巴巴概念;元宇宙;智能音箱;人脸识别;数据要素;语音技术;智能穿戴;DeepSeek概念;在线教育;车联网(车路协同);东数西算(算力);机器视觉;无线耳机;人工智能;华为概念;互联网保险;独角兽概念;AI手机;智能医疗;数字孪生;人形机器人;智慧城市;脑机接口;消费电子概念;机器人概念;工业互联网;同花顺漂亮100;家庭医生;智能家居;眼科医疗;雄安新区;深股通;融资融券;智能座舱】	--		--		+22.26%		+21.96%		+3.42		+3.42%		159504080	89589528	--		--		
SZ002231	*ST奥维		-4.96%		1.15		4854.89万	-4821593	--		-1086.99万	-18453458	13.62%		0.94		3.54亿		--		--		军工电子	【ST板块;物联网;专精特新;5G;军民融合;军工信息化;军工】	--		--		-30.72%		-50.00%		-2.48		-2.48%		2387612		98900		--		--		
SZ002232	启明信息	+4.59%		20.97		5.37亿		+8173095	9924.10万	4090.70万	99255558	6.37%		1.41		85.67亿		--		--		IT服务		【MLOps概念;华为鲲鹏;数据安全;信创;数据要素;百度概念;AI智能体;车联网(车路协同);国产操作系统;网络安全;ERP概念;国资云;阿里巴巴概念;元宇宙;DeepSeek概念;智慧城市;数字经济;人工智能;EDR概念;算力租赁;虚拟现实;无人驾驶;京津冀一体化;华为概念;低空经济;卫星导航;飞行汽车(eVTOL);工业互联网;国企改革;数据中心;汽车电子;充电桩;华为汽车;央企国企改革;一带一路;新能源汽车;股权转让(并购重组);融资融券;深股通】	--		--		+9.68%		+16.31%		+0.50		+0.50%		1646255		5911443		--		--		
SZ002233	塔牌集团	-0.11%		9.02		1.16亿		-7176005	723.54万	-97.90万	7235364		1.09%		1.14		107.47亿	--		--		建筑材料	【水泥概念;参股银行;绿色电力;创投;粤港澳大湾区;深股通;融资融券】	--		--		-1.64%		-6.91%		-1.22		-1.22%		3088104		971454		--		--		
SZ002234	民和股份	+1.35%		9.02		7218.21万	+785633		573.48万	389.44万	5734802		2.68%		1.36		27.19亿		--		--		养殖业		【养鸡;生态农业;预制菜;生物质能发电;融资融券】	--		--		+1.81%		+5.74%		+0.00		+0.00%		342650		822840		--		--		
SZ002235	安妮股份	+3.63%		11.14		9.47亿		-14806098	3872.22万	1051.17万	38729767	15.58%		1.20		61.67亿		--		--		造纸		【福建自贸区;海峡两岸;文化传媒概念;物业管理;体育产业;独角兽概念;数据确权;知识产权保护;Web3.0;NFT概念;数据要素;比亚迪概念;区块链;蚂蚁集团概念;股权转让(并购重组);融资融券】	--		--		-3.47%		-18.09%		-0.56		-0.56%		9570757		9707396		--		--		
