sina_code,name,tag,today_pct,turnover,open_pct,price,pct_10,link_dragon,vol,code
sh603272,联翔股份,1板/硬板(无炸),10.01,5.060279846191406,0.0,20.11,9.83,,52438,603272
sz002634,棒杰股份,1板/硬板(无炸),9.92,5.364477157592773,0.0,5.65,8.24,,239532,002634
sh600391,航发科技,1板/硬板(无炸),9.99,12.05424976348877,-0.68,37.1,30.73,,397946,600391
sz002718,友邦吊顶,1板/硬板(无炸),10.01,1.1196643114089966,10.01,35.94,26.15,,6103,002718
sz001231,农心科技,1板/持仓/农心(农业)/硬板,10.01,18.568880081176758,0.4,24.94,20.42,,92668,001231
sh600783,鲁信创投,1板/回封(炸8次),10.01,16.304443359375,5.25,24.73,68.23,,1213636,600783
sz002659,凯文教育,1板/回封(炸4次),9.94,8.933595657348633,5.25,5.86,8.92,,534477,002659
sh600135,乐凯胶片,1板/回封(炸4次),10.02,10.574633598327637,0.21,10.32,17.41,,585102,600135
sh600345,长江通信,1板/回封(炸4次),10.0,16.51874542236328,1.24,34.66,16.94,,349469,600345
sz000809,和展能源,1板/回封(炸3次),9.97,8.14815616607666,0.0,3.64,12.0,,672053,000809
sh600498,烽火通信,1板/回封(炸3次),10.01,10.568985939025879,2.5,32.08,20.15,,1343975,600498
sh600501,航天晨光,1板/回封(炸3次),10.0,22.428329467773438,0.99,30.13,11.43,,959538,600501
sh600629,华建集团,1板/回封(炸2次),9.98,8.076777458190918,0.35,21.7,16.98,,769811,600629
sh600626,申达股份,1板/回封(炸2次),10.02,5.790922164916992,-0.23,4.83,7.1,,641622,600626
sh605338,巴比食品,1板/回封(炸2次),10.01,2.805149793624878,3.62,31.32,12.26,,67202,605338
sz002565,顺灏股份,1板/回封(炸2次),10.02,19.941255569458008,4.74,18.33,20.83,,2113661,002565
sz002735,王子新材,1板/回封(炸2次),10.01,33.1177864074707,-1.46,18.03,8.35,,928833,002735
sz301380,挖金客,1板/回封(炸1次)/🔥20cm,20.0,14.941720008850098,0.32,37.8,22.57,,120637,301380
sz002766,索菱股份,1板/回封(炸1次),10.0,10.688947677612305,3.09,6.05,10.81,,914169,002766
sz300058,蓝色光标,1板/NGA/蓝光(AI智能体/20cm)/AI智能体中军/文化传媒中军/🔥20cm/硬板,20.0,29.542665481567383,1.67,11.52,35.05,,10280935,300058
sz002908,德生科技,1板/NGA/德生科技(数字货币/社保)/回封,10.03,12.726292610168457,0.21,10.53,14.33,,409576,002908
sh603130,云中马,1板/NGA/云中马(马字辈/纺织)/硬板,10.0,4.403406143188477,-0.02,56.65,12.05,,60553,603130
sz301153,中科江南,1板/NGA/中科江南(数字货币/数据要素)/🔥20cm/回封,20.0,9.752788543701172,0.05,24.72,25.99,,321091,301153
sz301066,万事利,1板/NGA/万事利(AI应用/春晚IP/20cm)/🔥20cm/硬板,19.99,13.64750862121582,0.91,19.69,7.48,,257647,301066
sh600118,中国卫星,1板/F佬/卫通(千亿中军)/商业航天中军/低空经济中军/硬板,10.0,12.462118148803711,1.95,94.95,79.76,,1473632,600118
