代码		    名称		涨幅		现价		昨日成交额		当日成交额		主力净额		资金流向		主力资金流向[20260113]		净流入		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		开盘涨幅		早盘竞价金额		尾盘竞价金额		首次涨停时间		最终涨停时间
SH600056	中国医药	-0.09%		10.80		2.38亿		3.14亿		-14213822	666.31万	39.04万		6873636		1.93%		1.59		161.50亿	--		--		医药商业	【医药电商;流感;肝炎概念;仿制药一致性评价;猴痘概念;证金持股;创新药;医疗器械概念;国企改革;央企国企改革;中字头股票;沪股通;融资融券;脑机接口】	--		0		+3.15%		+1.60%		+0.00		+0.00%		1164453		1666440		--		--
SH600057	厦门象屿	-2.84%		8.22		2.09亿		2.18亿		-23338943	628.31万	-2246.27万	-45462670	1.25%		1.05		172.00亿	--		--		物流		【海峡两岸;玉米;福建自贸区;农业种植;统一大市场;土地流转;冷链物流;乡村振兴;国企改革;一带一路;智能物流;数据要素;DeepSeek概念;沪股通;融资融券】	--		0		-7.22%		-4.08%		-0.12		-0.12%		397150		1857720		--		--
SH600058	五矿发展	--		--		--		0.00		--		--		0.00		0		0.00%		0.00		123.48亿	--		--		贸易		【央企国企改革;一带一路;国企改革;统一大市场;小金属概念;融资融券;沪股通】	--		--		+25.08%		+32.57%		--		--		--		--		--		--
SH600059	古越龙山	-0.85%		9.32		1.14亿		1.12亿		+1539424	2716.73万	109.03万	-14913999	1.32%		1.38		84.96亿		--		--		饮料制造	【白酒概念;超级品牌;跨境电商;国企改革;回购增持再贷款概念;融资融券;乡村振兴;沪股通】	--		0		+0.87%		+3.79%		+0.11		+0.11%		316647		983260		--		--
SH600060	海信视像	-5.56%		23.94		7.65亿		5.45亿		-14860628	--		-2039.35万	-68775438	1.72%		1.47		311.26亿	--		--		黑色家电	【智能家居;虚拟数字人;数字经济;DeepSeek概念;数据要素;人工智能;家用电器;元宇宙;多模态AI;AI智能体;虚拟现实;机器人概念;MR(混合现实);智能穿戴;AI眼镜;汽车电子;芯片概念;MCU芯片;沪股通;融资融券;MiniLED;消费电子概念】	--		0		+0.67%		-4.28%		-0.20		-0.20%		2084720		3054744		--		--
SH600061	国投资本	-0.13%		7.89		4.06亿		4.43亿		+33757663	867.28万	2808.80万	8754256		0.87%		1.06		504.49亿	--		--		证券		【期货概念;参股券商;信托概念;证金持股;国企改革;雄安新区;央企国企改革;沪股通;融资融券】	--		0		+3.27%		+5.20%		+0.25		+0.25%		2450448		3122862		--		--
SH600062	华润双鹤	-0.11%		18.68		1.51亿		1.99亿		-13389084	--		-845.78万	-4386526	1.03%		1.52		192.96亿	--		--		化学制药	【仿制药一致性评价;NMN概念;创新药;合成生物;青蒿素;减肥药;国企改革;央企国企改革;智能医疗;DeepSeek概念;沪股通;融资融券】	--		0		+1.03%		+0.59%		+0.05		+0.05%		1702610		924660		--		--
SH600063	皖维高新	+0.47%		6.42		3.06亿		3.36亿		+6950455	1198.64万	429.35万	11609889	2.52%		1.06		132.84亿	--		--		化学纤维	【水泥概念;参股券商;国企改革;光伏概念;2025三季报预增;专精特新;融资融券;沪股通】	--		0		+5.59%		+9.37%		-0.63		-0.63%		1478915		3325560		--		--
SH600064	南京高科	-1.13%		8.76		2.41亿		2.15亿		-20170198	--		-2297.03万	-35963248	1.41%		0.96		151.58亿	--		--		房地产		【参股券商;参股银行;污水处理;证金持股;创投;国企改革;融资融券;沪股通】	--		0		+3.79%		+5.54%		-0.23		-0.23%		1440920		2621421		--		--
SH600066	宇通客车	+0.22%		31.68		7.84亿		6.22亿		+27198152	83.40万		-2449.46万	-69334490	0.88%		1.09		701.38亿	--		--		汽车整车	【冷链物流;露营经济;同花顺出海50;DeepSeek概念;车联网(车路协同);燃料电池;无人驾驶;汽车热管理;新能源汽车;沪股通;融资融券】	--		0		-3.33%		-5.71%		+0.32		+0.32%		2863413		3332736		--		--
