代码		    名称		涨幅		现价		昨日成交额		当日成交额		主力净额		资金流向		主力资金流向[20260113]		净流入		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		开盘涨幅		早盘竞价金额		尾盘竞价金额		首次涨停时间		最终涨停时间
SZ002265	建设工业	--		--		5.64亿		0.00		--		5327.34万	0.00		0		--		--		292.35亿	--		--		军工装备	【兵装重组概念;军民融合;军工信息化;军工;无人机;央企国企改革;机器人概念;无人驾驶;专精特新;长安汽车概念;新能源汽车;比亚迪概念;西部大开发;国企改革;汽车电子;融资融券;股权转让(并购重组);深股通】	--		--		--		--		--		--		--		--		--		--
SZ002266	浙富控股	--		--		7.73亿		0.00		--		--		0.00		0		--		--		223.78亿	--		--		环境治理	【可控核聚变;核电;抽水蓄能;雅下水电概念;金属回收;金属铜;小金属概念;金属钴;黄金概念;金属镍;高端装备;固废处理;绿色电力;水利;金属铅;汽车拆解概念;金属锌;碳中和;一带一路;动力电池回收;创投;共同富裕示范区;文化传媒概念;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002267	陕天然气	--		--		8267.14万	0.00		--		694.88万	0.00		0		--		--		84.96亿		--		--		燃气		【天然气;证金持股;地下管网;国企改革;西部大开发;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002268	电科网安	--		--		20.22亿		0.00		--		2.28亿		0.00		0		--		--		200.84亿	--		--		计算机设备	【数字水印;数据安全;网络安全;商业航天;量子科技;财税数字化;云办公;华为鲲鹏;EDR概念;智慧政务;卫星导航;信创;国资云;数字货币;军工;车联网(车路协同);低空经济;移动支付;数据要素;智慧城市;互联网金融;数字经济;工业互联网;数字孪生;国产操作系统;鸿蒙概念;腾讯概念;跨境支付(CIPS);人工智能;华为概念;物联网;水利;乡村振兴;雅下水电概念;西部大开发;国企改革;5G;芯片概念;消费电子概念;汽车电子;汽车芯片;深股通;融资融券】	--		--		--		--		--		--		--		--		13:54:21	14:38:27
SZ002269	美邦服饰	--		--		2.05亿		0.00		--		5183.40万	0.00		0		--		--		49.75亿		--		--		服装家纺	【三胎概念;IP经济(谷子经济);参股银行;上海自贸区;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002270	华明装备	--		--		3.13亿		0.00		--		--		0.00		0		--		--		245.29亿	--		--		电网设备	【特高压;高端装备;专精特新;工业母机;机器人概念;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002271	东方雨虹	--		--		5.07亿		0.00		--		--		0.00		0		--		--		280.35亿	--		--		建筑材料	【冰雪产业;房屋检测;同花顺中特估100;高股息精选;装配式建筑;乡村振兴;建筑节能;新型城镇化;雄安新区;地下管网;水利;一带一路;绿色电力;光伏建筑一体化;核电;海工装备;高铁;数字经济;回购增持再贷款概念;抽水蓄能;充电桩;光伏概念;同花顺漂亮100;储能;数据中心;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002272	川润股份	--		--		11.11亿		0.00		--		3767.44万	0.00		0		--		--		66.09亿		--		--		通用设备	【液冷服务器;数据中心;传感器;储能;抽水蓄能;高端装备;机器人概念;光热发电;特高压;工业互联网;智能电网;风电;氢能源;核电;华为概念;超超临界发电;垃圾分类;水利;低空经济;军工;碳中和;数字经济;西部大开发;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002273	水晶光电	--		--		15.55亿		0.00		--		1.20亿		0.00		0		--		--		356.49亿	--		--		光学光电子	【同花顺果指数;AI手机;AI眼镜;苹果概念;智能座舱;智能穿戴;华为手机;汽车电子;消费电子概念;小米概念;人形机器人;虚拟现实;华为概念;机器人概念;比亚迪概念;元宇宙;华为汽车;安防;长安汽车概念;人民币贬值受益;储能;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002274	华昌化工	--		--		5960.59万	0.00		--		47.48万		0.00		0		--		--		54.02亿		--		--		化学原料	【煤化工概念;化肥;钒电池;氢能源;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002275	桂林三金	--		--		4761.77万	0.00		--		727.10万	0.00		0		--		--		80.95亿		--		--		中药		【流感;仿制药一致性评价;创新药;西部大开发;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002276	万马股份	--		--		10.44亿		0.00		--		3534.99万	0.00		0		--		--		173.45亿	--		--		电网设备	【股权转让(并购重组);充电桩;柔性直流输电;人形机器人;换电概念;高压快充;新能源汽车;机器人概念;工业互联网;核电;数据中心;水利;比亚迪概念;高端装备;储能;海工装备;军工;风电;数字经济;5G;光纤概念;绿色电力;国企改革;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002277	友阿股份	--		--		6.78亿		0.00		--		2513.59万	0.00		0		--		--		115.30亿	--		--		零售		【免税店;跨境电商;乡村振兴;NMN概念;参股银行;农村电商;互联网金融;机器人概念;证金持股;芯片概念;第三代半导体;深股通;融资融券;股权转让(并购重组)】	--		--		--		--		--		--		--		--		--		--
SZ002278	神开股份	--		--		18.29亿		0.00		--		--		0.00		0		--		--		48.23亿		--		--		专用设备	【可燃冰;页岩气;海工装备;碳纤维;商业航天;高端装备;俄乌冲突概念;中俄贸易概念;天然气;机器人概念;专精特新;一带一路;无人机;氢能源;人工智能】	--		--		--		--		--		--		--		--		--		--
SZ002279	久其软件	--		--		17.95亿		0.00		--		--		0.00		0		--		--		76.92亿		--		--		软件开发	【快手概念;小红书概念;ChatGPT概念;AIGC概念;财税数字化;智慧政务;华为鲲鹏;AI智能体;数据安全;文化传媒概念;数据要素;信创;抖音概念(字节概念);网络安全;区块链;百度概念;职业教育;鸿蒙概念;数字乡村;阿里巴巴概念;腾讯概念;数字经济;网红经济;DeepSeek概念;人工智能;化债概念(AMC概念);华为概念;智能医疗;京津冀一体化;低空经济;跨境电商;乡村振兴;雄安新区;数据中心;深股通;AI应用】	--		--		--		--		--		--		--		--		--		--
SZ002281	光迅科技	--		--		38.01亿		0.00		--		--		0.00		0		--		--		587.10亿	--		--		通信设备	【共封装光学(CPO);F5G概念;光纤概念;液冷服务器;5G;6G概念;数据中心;芯片概念;东数西算(算力);量子科技;抖音概念(字节概念);华为概念;阿里巴巴概念;腾讯概念;百度概念;深股通;融资融券;央企国企改革;国企改革】	--		--		--		--		--		--		--		--		--		--
SZ002282	博深股份	--		--		6088.11万	0.00		--		235.66万	0.00		0		--		--		38.23亿		--		--		通用设备	【雄安新区;国企改革;绿色电力;中俄贸易概念;一带一路;高铁】	--		--		--		--		--		--		--		--		--		--
SZ002283	天润工业	--		--		1.34亿		0.00		--		--		0.00		0		--		--		63.52亿		--		--		汽车零部件	【减速器;新能源汽车;机器人概念;工业互联网;回购增持再贷款概念;比亚迪概念;高端装备;绿色电力;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002284	亚太股份	--		--		3.82亿		0.00		--		--		0.00		0		--		--		113.56亿	--		--		汽车零部件	【毫米波雷达;汽车电子;长安汽车概念;华为汽车;无人驾驶;比亚迪概念;新能源汽车;车联网(车路协同);智能物流;2025三季报预增;深股通;2025年报预增;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002285	世联行		--		--		2.86亿		0.00		--		--		0.00		0		--		--		59.87亿		--		--		房地产		【租售同权;物业管理;化债概念(AMC概念);特色小镇;横琴新区;养老概念;互联网金融;新型城镇化;国企改革;云计算;粤港澳大湾区;华为概念;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002286	保龄宝		--		--		1.13亿		0.00		--		--		0.00		0		--		--		35.74亿		--		--		农产品加工	【代糖概念;合成生物;参股银行;三胎概念;中俄贸易概念】	--		--		--		--		--		--		--		--		--		--
SZ002287	奇正藏药	--		--		8783.48万	0.00		--		227.88万	0.00		0		--		--		140.58亿	--		--		中药		【流感;医药电商;创新药;三胎概念;西部大开发;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002289	*ST宇顺		--		--		1.22亿		0.00		--		--		0.00		0		--		--		82.00亿		--		--		光学光电子	【ST板块;柔性屏(折叠屏);数据中心;消费电子概念;股权转让(并购重组)】	--		--		--		--		--		--		--		--		--		--
SZ002290	禾盛新材	--		--		4.77亿		0.00		--		--		0.00		0		--		--		131.78亿	--		--		白色家电	【云游戏;信创;东数西算(算力);文化传媒概念;DeepSeek概念;人工智能;芯片概念;智能物流;智能医疗;家用电器;2025三季报预增;深股通】	--		--		--		--		--		--		--		--		--		--
SZ002291	遥望科技	--		--		11.69亿		0.00		--		7179.14万	0.00		0		--		--		66.05亿		--		--		文化传媒	【小红书概念;短剧游戏;网红经济;快手概念;广东自贸区;文化传媒概念;NFT概念;虚拟数字人;Web3.0;跨境电商;抖音概念(字节概念);乡村振兴;数字经济;数据要素;人工智能;粤港澳大湾区;虚拟现实;AI应用;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002292	奥飞娱乐	--		--		14.64亿		0.00		--		1.75亿		0.00		0		--		--		110.44亿	--		--		影视院线	【虚拟数字人;手机游戏;文化传媒概念;NFT概念;网络游戏;ChatGPT概念;多模态AI;元宇宙;IP经济(谷子经济);腾讯概念;虚拟现实;独角兽概念;人工智能;跨境电商;三胎概念;智能穿戴;乡村振兴;回购增持再贷款概念;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002293	罗莱生活	--		--		8614.91万	0.00		--		--		0.00		0		--		--		78.53亿		--		--		服装家纺	【三胎概念;网红经济;智能家居;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002294	信立泰		--		--		3.85亿		0.00		--		--		0.00		0		--		--		597.96亿	--		--		化学制药	【减肥药;创新药;仿制药一致性评价;医疗器械概念;参股保险;深股通;融资融券;证金持股】	--		--		--		--		--		--		--		--		--		--
SZ002295	精艺股份	--		--		1.49亿		0.00		--		--		0.00		0		--		--		31.56亿		--		--		工业金属	【金属铜;虚拟电厂;数字经济;储能;股权转让(并购重组);国企改革】	--		--		--		--		--		--		--		--		--		--
SZ002296	辉煌科技	--		--		13.57亿		0.00		--		2579.51万	0.00		0		--		--		45.55亿		--		--		通信设备	【高铁;高端装备;专精特新;工业互联网;低空经济;储能;钒电池;智慧城市;大飞机;人工智能;安防;区块链;卫星导航;信创】	--		--		--		--		--		--		--		--		--		--
SZ002297	博云新材	--		--		11.98亿		0.00		--		--		0.00		0		--		--		74.50亿		--		--		军工装备	【成飞概念;商业航天;大飞机;航空发动机;军民融合;军工;碳纤维;无人机;国企改革;培育钻石;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002298	中电鑫龙	--		--		9.84亿		0.00		--		7994.57万	0.00		0		--		--		76.90亿		--		--		电网设备	【电力物联网;虚拟电厂;智能电网;无线充电;智慧政务;光伏建筑一体化;充电桩;云计算;数字乡村;东数西算(算力);阿里巴巴概念;数据安全;数据中心;储能;信创;网络安全;数字经济;AIGC概念;时空大数据;人脸识别;军工;物联网;安防;碳中和;碳交易;水利;工业互联网;数据要素;华为概念;人工智能;智慧城市;军工信息化;PPP概念;专精特新;无人机;机器视觉;高铁;5G;消费电子概念;传感器;新型城镇化;光纤概念;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002299	圣农发展	--		--		2.54亿		0.00		--		--		0.00		0		--		--		204.59亿	--		--		养殖业		【养鸡;预制菜;参股银行;食品安全;海峡两岸;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002300	太阳电缆	--		--		9.86亿		0.00		--		8445.09万	0.00		0		--		--		72.44亿		--		--		电网设备	【特高压;海峡两岸;核电;海工装备;风电;充电桩;军工;光伏概念;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002301	齐心集团	--		--		2.99亿		0.00		--		--		0.00		0		--		--		58.73亿		--		--		家居用品	【IP经济(谷子经济);虚拟数字人;文化传媒概念;跨境电商;在线教育;云办公;腾讯概念;数字经济;智慧政务;百度概念;人工智能;DeepSeek概念;医疗器械概念;信创;智能物流;华为概念;粤港澳大湾区;AI眼镜;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002302	西部建设	--		--		8437.07万	0.00		--		832.72万	0.00		0		--		--		79.53亿		--		--		建筑材料	【水泥概念;新疆振兴;装配式建筑;雄安新区;国企改革;西部大开发;一带一路;央企国企改革;同花顺中特估100;核电;数字经济;风电;数据要素;3D打印;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002303	美盈森		--		--		1.14亿		0.00		--		--		0.00		0		--		--		40.03亿		--		--		包装印刷	【人造肉;预制菜;绿色电力;一带一路;工业大麻;海峡两岸;军民融合;区块链;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002304	洋河股份	--		--		3.23亿		0.00		--		2440.29万	0.00		0		--		--		952.05亿	--		--		白酒		【白酒概念;超级品牌;证金持股;参股券商;国企改革;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002305	*ST南置		--		--		8464.41万	0.00		--		--		0.00		0		--		--		39.02亿		--		--		零售		【特色小镇;物业管理;租售同权;ST板块;PPP概念;雄安新区;国企改革;央企国企改革】	--		--		--		--		--		--		--		--		--		--
SZ002306	*ST云网		--		--		5940.28万	0.00		--		--		0.00		0		--		--		16.52亿		--		--		旅游及酒店	【TOPCON电池;ST板块;BC电池;光伏概念;京津冀一体化;新能源汽车;NFT概念】	--		--		--		--		--		--		--		--		--		--
SZ002307	北新路桥	--		--		2.34亿		0.00		--		--		0.00		0		--		--		63.80亿		--		--		建筑装饰	【新疆振兴;雅下水电概念;新型城镇化;水利;PPP概念;乡村振兴;国企改革;西部大开发;一带一路;DeepSeek概念;医疗器械概念;3D打印;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002309	中利集团	--		--		3.76亿		0.00		--		7156.28万	0.00		0		--		--		69.22亿		--		--		电网设备	【钙钛矿电池;智能电网;海工装备;光伏建筑一体化;高铁;风电;军工;充电桩;军民融合;锂电池概念;光伏概念;碳中和;储能;TOPCON电池;绿色电力;一带一路;国企改革;新能源汽车;比亚迪概念;5G;华为概念;深股通;摘帽】	--		--		--		--		--		--		--		--		--		--
SZ002310	东方园林	--		--		1.72亿		0.00		--		1759.60万	0.00		0		--		--		95.74亿		--		--		环境治理	【汽车拆解概念;PPP概念;股权转让(并购重组);生态农业;雄安新区;金属回收;污水处理;医疗废物处理;土壤修复;绿色电力;水利;乡村振兴;新型城镇化;国企改革;京津冀一体化;固废处理;风电;储能;深股通;摘帽】	--		--		--		--		--		--		--		--		--		--
SZ002311	海大集团	--		--		4.21亿		0.00		--		--		0.00		0		--		--		880.80亿	--		--		农产品加工	【猪肉;宠物经济;生态农业;同花顺漂亮100;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002312	川发龙蟒	--		--		5.35亿		0.00		--		2287.36万	0.00		0		--		--		216.07亿	--		--		农化制品	【磷化工;化肥;小金属概念;锂电池概念;农村电商;西部大开发;乡村振兴;国企改革;数字乡村;融资融券;深股通】	--		--		--		--		--		--		--		--		--		--
SZ002313	日海智能	--		--		1.67亿		0.00		--		2216.55万	0.00		0		--		--		41.41亿		--		--		通信设备	【智慧城市;智慧灯杆;东数西算(算力);阿里巴巴概念;人工智能;DeepSeek概念;物联网;车联网(车路协同);智能家居;华为概念;卫星导航;粤港澳大湾区;5G;无人机;无人驾驶;数据中心;智能座舱;小米概念;汽车电子;机器人概念;工业互联网;国企改革;新疆振兴;充电桩;比亚迪概念;储能;股权转让(并购重组);液冷服务器】	--		--		--		--		--		--		--		--		--		--
SZ002314	南山控股	--		--		1.26亿		0.00		--		--		0.00		0		--		--		39.35亿		--		--		房地产		【物业管理;统一大市场;国企改革;天然气;冷链物流;跨境电商;绿色电力;一带一路;智能物流;粤港澳大湾区;车联网(车路协同);储能;国产航母;海工装备;专精特新;深股通】	--		--		--		--		--		--		--		--		--		--
SZ002315	焦点科技	--		--		20.77亿		0.00		--		--		0.00		0		--		--		117.95亿	--		--		互联网电商	【多模态AI;ERP概念;AIGC概念;AI智能体;云计算;信创;在线教育;互联网保险;跨境支付(CIPS);人工智能;虚拟现实;互联网金融;智能医疗;家庭医生;跨境电商;创投;参股银行;海峡两岸;AI应用;深股通】	--		--		--		--		--		--		--		--		10:36:33	10:36:35
SZ002316	亚联发展	--		--		3.34亿		0.00		--		--		0.00		0		--		--		21.40亿		3		--		通信服务	【智慧城市;医疗器械概念;ETC;区块链;人工智能;独角兽概念;合成生物;网络安全;粮食概念;华为概念;数据中心;智能电网;特高压;摘帽】	--		--		--		--		--		--		--		--		09:30:15	09:32:54
SZ002317	众生药业	--		--		14.33亿		0.00		--		--		0.00		0		--		--		166.41亿	--		--		中药		【仿制药一致性评价;禽流感;流感;幽门螺杆菌概念;肝炎概念;猴痘概念;创新药;眼科医疗;辅助生殖;医药电商;NMN概念;维生素;减肥药;医疗器械概念;养老概念;智能医疗;粤港澳大湾区;数字经济;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002318	久立特材	--		--		6.48亿		0.00		--		--		0.00		0		--		--		285.82亿	--		--		钢铁		【可控核聚变;特钢概念;核电;超超临界发电;海工装备;同花顺出海50;回购增持再贷款概念;融资融券;深股通】	--		--		--		--		--		--		--		--		--		--
SZ002319	乐通股份	--		--		9865.64万	0.00		--		201.76万	0.00		0		--		--		24.80亿		--		--		化学制品	【横琴新区;文化传媒概念;柔性屏(折叠屏);HJT电池;石墨烯;光伏概念】	--		--		--		--		--		--		--		--		--		--
SZ002320	海峡股份	--		--		7.47亿		0.00		--		--		0.00		0		--		--		252.29亿	--		--		港口航运	【海南自贸区;自由贸易港;旅游概念;航运概念;股权转让(并购重组);国企改革;央企国企改革;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002321	华英农业	--		--		1.00亿		0.00		--		991.20万	0.00		0		--		--		51.41亿		--		--		养殖业		【养鸡;土地流转;农村电商;预制菜;乡村振兴;食品安全;区块链;深股通】	--		--		--		--		--		--		--		--		--		--
SZ002322	理工能科	--		--		1.19亿		0.00		--		846.87万	0.00		0		--		--		45.44亿		--		--		软件开发	【PM2.5;数字孪生;数据要素;人工智能;土壤修复;电力物联网;智能电网;信创;虚拟现实;无人机;特高压;东数西算(算力);核电;储能;深股通】	--		--		--		--		--		--		--		--		--		--
SZ002323	雅博股份	--		--		1.25亿		0.00		--		2828.33万	0.00		0		--		--		36.68亿		--		--		建筑装饰	【光伏建筑一体化;国企改革;一带一路;绿色电力;数字乡村;HJT电池;智慧城市;光伏概念;储能;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002324	普利特		--		--		52.30亿		0.00		--		--		0.00		0		--		--		185.53亿	--		--		塑料制品	【脑机接口;碳纤维;PEEK材料;消费电子概念;固态电池;6G概念;毫米波雷达;商业航天;钠离子电池;新能源汽车;锂电池概念;专精特新;机器人概念;军工;储能;长三角一体化;2025三季报预增;光刻胶;深股通;低空经济;卫星导航;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002326	永太科技	--		--		19.71亿		0.00		--		--		0.00		0		--		--		210.12亿	--		--		化学制品	【氟化工概念;钠离子电池;锂电池概念;宁德时代概念;液冷服务器;仿制药一致性评价;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002327	富安娜		--		--		4197.08万	0.00		--		578.33万	0.00		0		--		--		33.24亿		--		--		服装家纺	【深股通】	--		--		--		--		--		--		--		--		--		--
SZ002328	新朋股份	--		--		3.30亿		0.00		--		1167.66万	0.00		0		--		--		41.10亿		--		--		汽车零部件	【储能;长三角一体化;一带一路;新能源汽车;特斯拉概念;创投;数据中心;液冷服务器;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002329	皇氏集团	--		--		2.08亿		0.00		--		--		0.00		0		--		--		26.28亿		--		--		饮料制造	【乳业;冷链物流;生态农业;三胎概念;跨境电商;乡村振兴;西部大开发;文化传媒概念;智慧城市;绿色电力;数字经济;一带一路;光伏概念;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002330	得利斯		--		--		9772.40万	0.00		--		--		0.00		0		--		--		31.70亿		--		--		食品加工制造	【预制菜;网红经济;冷链物流;宠物经济;乡村振兴;猪肉;绿色电力;回购增持再贷款概念】	--		--		--		--		--		--		--		--		--		--
SZ002331	皖通科技	--		--		1.74亿		0.00		--		851.77万	0.00		0		--		--		37.53亿		--		--		IT服务		【数字乡村;智慧政务;华为鲲鹏;智慧城市;数字经济;区块链;安防;数字孪生;ETC;华为昇腾;鸿蒙概念;水利;DeepSeek概念;雄安新区;华为概念;智能物流;无人驾驶;航运概念】	--		--		--		--		--		--		--		--		--		--
SZ002332	仙琚制药	--		--		1.39亿		0.00		--		--		0.00		0		--		--		91.47亿		--		--		化学制药	【毛发医疗;仿制药一致性评价;辅助生殖;创新药;医药电商;国企改革;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002333	罗普斯金	--		--		9808.58万	0.00		--		--		0.00		0		--		--		39.22亿		--		--		建筑材料	【光伏建筑一体化;房屋检测;光伏概念;智慧城市;工业互联网】	--		--		--		--		--		--		--		--		--		--
SZ002334	英威腾		--		--		3.17亿		0.00		--		4288.06万	0.00		0		--		--		68.20亿		--		--		自动化设备	【换电概念;充电桩;新能源汽车;比亚迪概念;液冷服务器;储能;光伏概念;人形机器人;数据中心;燃料电池;机器人概念;新型工业化;工业互联网;核电;海工装备;风电;工业母机;氢能源;物联网;光伏建筑一体化;百度概念;粤港澳大湾区;稀土永磁;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002335	科华数据	--		--		35.73亿		0.00		--		--		0.00		0		--		--		300.68亿	--		--		其他电源设备	【液冷服务器;数据中心;5G;储能;充电桩;东数西算(算力);锂电池概念;算力租赁;光伏概念;华为概念;无人驾驶;阿里巴巴概念;腾讯概念;海工装备;核电;小红书概念;氢能源;深股通;AI智能体;高铁;福建自贸区;人工智能;智慧政务;量子科技;数字经济;DeepSeek概念;海峡两岸;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002337	赛象科技	--		--		1.61亿		0.00		--		--		0.00		0		--		--		39.69亿		--		--		专用设备	【天津自贸区;智能物流;京津冀一体化;大飞机;互联网金融;数字孪生;高端装备;机器人概念;工业互联网;专精特新】	--		--		--		--		--		--		--		--		--		--
SZ002338	奥普光电	--		--		15.04亿		0.00		--		2.14亿		0.00		0		--		--		162.96亿	--		--		军工电子	【军民融合;商业航天;军工;低空经济;国企改革;碳纤维;医疗器械概念;专精特新;证金持股;芯片概念;同花顺新质50;机器视觉;传感器;机器人概念;工业母机;深股通;融资融券】	--		--		--		--		--		--		--		--		14:38:45	--
SZ002339	积成电子	--		--		4.30亿		0.00		--		293.22万	0.00		0		--		--		46.97亿		--		--		电网设备	【智能电网;特高压;换电概念;充电桩;虚拟电厂;电力物联网;高压快充;光伏概念;碳中和;风电;核电;储能;水利;绿色电力;新型城镇化;地下管网;天然气;新能源汽车;车联网(车路协同);智慧城市;数字孪生;物联网;数字经济;工业互联网;华为概念;机器人概念;人工智能;网络安全;养老概念;动力电池回收;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002340	格林美		--		--		27.53亿		0.00		--		--		0.00		0		--		--		448.56亿	--		--		电池		【金属钴;金属镍;小金属概念;稀土永磁;金属铜;动力电池回收;金属回收;黄金概念;固态电池;钠离子电池;锂电池概念;宁德时代概念;石墨烯;汽车拆解概念;储能;特斯拉概念;比亚迪概念;燃料电池;氢能源;新能源汽车;专精特新;低空经济;回购增持再贷款概念;固废处理;机器人概念;碳中和;污水处理;一带一路;垃圾分类;土壤修复;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002342	巨力索具	+10.02%		13.29		1.96亿		0.00		-555657740	--		0.00		-259398970	39.34%		2.97		115.33亿	3		--		通用设备	【商业航天;军工;海工装备;水利;核电;京津冀一体化;高端装备;雄安新区;一带一路;风电;抽水蓄能;白酒概念;光伏概念;深股通;融资融券】	--		--		+62.67%		+83.31%		+4.06		+4.06%		229524429	12361029	09:25:00	09:30:00
SZ002343	慈文传媒	--		--		3.40亿		0.00		--		4736.17万	0.00		0		--		--		37.94亿		--		--		影视院线	【短剧游戏;文化传媒概念;IP经济(谷子经济);AI语料;手机游戏;AIGC概念;元宇宙;腾讯概念;旅游概念;虚拟现实;京津冀一体化;创投;国企改革】	--		--		--		--		--		--		--		--		--		--
SZ002344	海宁皮城	--		--		1.67亿		0.00		--		--		0.00		0		--		--		63.82亿		--		--		零售		【民营医院;特色小镇;参股银行;养老概念;跨境电商;网红经济;国企改革;创投;光伏建筑一体化;长三角一体化;互联网金融;小红书概念;深股通;融资融券;股权转让(并购重组)】	--		--		--		--		--		--		--		--		--		--
SZ002345	潮宏基		--		--		2.53亿		0.00		--		--		0.00		0		--		--		108.24亿	--		--		服装家纺	【培育钻石;黄金概念;IP经济(谷子经济);NFT概念;小金属概念;深股通;2025年报预增】	--		--		--		--		--		--		--		--		--		--
SZ002346	柘中股份	--		--		2.23亿		0.00		--		--		0.00		0		--		--		83.38亿		--		--		电网设备	【回购增持再贷款概念;锂电池概念;参股银行;创投;DeepSeek概念;中芯国际概念;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002347	泰尔股份	--		--		22.76亿		0.00		--		1.32亿		0.00		0		--		--		67.69亿		--		--		通用设备	【商业航天;新型工业化;军工;高端装备;机器人概念;工业互联网;机器视觉;核电;人工智能;数字经济;新能源汽车;专精特新;创投;超级电容;动力电池回收;参股银行;锂电池概念】	--		--		--		--		--		--		--		--		--		--
SZ002348	高乐股份	--		--		2.63亿		0.00		--		--		0.00		0		--		--		55.21亿		--		--		家居用品	【跨境电商;三胎概念;IP经济(谷子经济);人工智能;在线教育;机器人概念;钠离子电池;固态电池;股权转让(并购重组)】	--		--		--		--		--		--		--		--		--		--
SZ002349	精华制药	--		--		1.76亿		0.00		--		2515.24万	0.00		0		--		--		62.45亿		--		--		中药		【流感;医药电商;肝炎概念;仿制药一致性评价;创新药;养老概念;国企改革;锂电池概念;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002350	北京科锐	--		--		2.32亿		0.00		--		--		0.00		0		--		--		46.53亿		--		--		电网设备	【特高压;光伏建筑一体化;智能电网;绿色电力;虚拟电厂;充电桩;光伏概念;高压快充;风电;中俄贸易概念;氢能源;超级电容;储能;雄安新区;燃料电池;高端装备;俄乌冲突概念;京津冀一体化;数据中心;阿里巴巴概念;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002351	漫步者		--		--		6.01亿		0.00		--		1.08亿		0.00		0		--		--		68.73亿		--		--		消费电子	【电子竞技;智能音箱;语音技术;阿里巴巴概念;星闪概念;跨境电商;人工智能;智能穿戴;无线耳机;消费电子概念;融资融券;深股通】	--		--		--		--		--		--		--		--		--		--
SZ002352	顺丰控股	--		--		10.89亿		0.00		--		--		0.00		0		--		--		1861.56亿	--		--		物流		【超级品牌;冷链物流;统一大市场;跨境电商;智能物流;数据要素;同花顺漂亮100;人工智能;区块链;低空经济;无人驾驶;无人机;机器人概念;深股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SZ002353	杰瑞股份	--		--		11.58亿		0.00		--		--		0.00		0		--		--		516.88亿	--		--		专用设备	【天然气;页岩气;海工装备;核电;同花顺出海50;高端装备;污水处理;土壤修复;中俄贸易概念;一带一路;动力电池回收;锂电池概念;回购增持再贷款概念;深股通;融资融券;数据中心】	--		--		--		--		--		--		--		--		--		--
